N	3gram	Tiupa_Lite_3	PoTuStor
1	с точки зрения	3	6
2	на самом деле	1	4
3	не может быть	3	3
4	по аналогии с	1	2
5	в самом деле	2	2
6	о том что	4	2
7	но отнюдь не	1	2
8	в конечном счете	1	2
9	я и мир	1	1
10	одних и тех	1	1
11	то что я	2	1
12	уже не может	1	1
13	подобно тому как	2	1
14	то же самое	2	1
15	бы то ни	2	1
16	в этом отношении	5	1
17	а то и	1	1
18	однако в рамках	1	1
19	именно то что	1	1
20	может быть только	1	1
21	с этой точки	1	1
22	вместе с тем	1	1
23	и тех же	1	1
24	быть может наиболее	1	1
25	в данном случае	4	1
26	и т.п и	1	1
27	то ни было	2	1
28	с одной стороны	4	1
29	в связи с	1	1
30	само нуждается в	1	1
31	в том что	4	1
32	этой точки зрения	1	1
33	это и есть	1	1
34	еще в году	1	1
35	что иное как	1	1
36	альфой и омегой	1	1
37	не что иное	1	1
38	быть не может	1	1
39	для того чтобы	1	1
40	на первый взгляд	1	1
41	обратим внимание на	2	1
42	той или иной	2	1
