N	2gram	Tiupa_Anal_2	UchenyiS
1	и в	16	14
2	а не	10	10
3	не только	16	10
4	прежде всего	3	8
5	и не	12	8
6	не может	4	7
7	в этом	18	7
8	то что	7	7
9	эстетического объекта	3	6
10	может быть	6	6
11	то же	4	5
12	в художественном	1	5
13	все это	4	5
14	хотя бы	1	5
15	с другой	6	4
16	но и	12	4
17	в их	3	4
18	в конечном	3	4
19	конечном счете	2	4
20	в этой	9	4
21	и то	3	3
22	это не	1	3
23	было бы	3	3
24	как и	14	3
25	в частности	16	3
26	в своей	2	3
27	или точнее	2	3
28	и т.д	3	3
29	очевидно что	1	3
30	произведения искусства	1	3
31	в то	2	3
32	но в	6	3
33	не следует	2	3
34	же время	2	3
35	только к	1	3
36	у нас	1	3
37	другой стороны	2	3
38	для него	4	3
39	не как	1	3
40	не о	2	3
41	что все	2	2
42	а между	1	2
43	крайней мере	3	2
44	же не	2	2
45	художественного произведения	2	2
46	а как	2	2
47	это было	2	2
48	самом деле	1	2
49	противном случае	1	2
50	превращается в	2	2
51	не приходится	1	2
52	о чем	2	2
53	если бы	3	2
54	ничего не	9	2
55	не столько	3	2
56	если не	1	2
57	должна была	2	2
58	том что	12	2
59	материал для	1	2
60	сводится к	3	2
61	но даже	1	2
62	на каждом	1	2
63	нам представляется	1	2
64	с его	1	2
65	но не	4	2
66	в сторону	5	2
67	в противовес	1	2
68	не все	1	2
69	в его	2	2
70	по крайней	3	2
71	по существу	2	2
72	что и	3	2
73	по себе	2	2
74	но это	1	2
75	этом смысле	2	2
76	в противном	1	2
77	в том	12	2
78	тех или	2	2
79	и для	2	2
80	в себе	7	2
81	при таком	2	2
82	в самом	6	2
83	неудивительно что	1	2
84	между тем	2	2
85	только в	4	2
86	не в	4	2
87	для всех	2	2
88	и является	4	2
89	вопроса о	1	2
90	все они	1	2
91	в системе	1	2
92	не есть	2	2
93	этом отношении	3	2
94	еще ничего	1	2
95	или иных	2	2
96	его и	1	2
97	бы и	1	2
98	всех этих	1	2
99	их и	1	2
100	могут быть	10	2
101	в конце	4	2
102	а о	1	2
103	же самое	1	2
104	не случайно	8	2
105	как раз	4	2
106	тем что	3	2
107	что она	2	2
108	таким образом	2	2
109	правило не	2	1
110	композиции в	1	1
111	для себя	1	1
112	что такой	1	1
113	об этом	1	1
114	искусство и	1	1
115	даже не	1	1
116	на материал	1	1
117	то есть	9	1
118	в виду	1	1
119	входит в	1	1
120	первую очередь	1	1
121	данном случае	5	1
122	или иначе	1	1
123	для читателя	2	1
124	с самим	3	1
125	в произведении	2	1
126	в пределах	9	1
127	некую систему	1	1
128	сам автор	1	1
129	и исторически	1	1
130	слова а	1	1
131	никогда не	3	1
132	литературного произведения	16	1
133	так и	15	1
134	по его	1	1
135	одной стороны	4	1
136	той же	2	1
137	целого но	1	1
138	этого не	1	1
139	мы имеем	3	1
140	место и	1	1
141	обращение к	1	1
142	со своими	1	1
143	именно к	1	1
144	в словах	3	1
145	и даже	9	1
146	иначе говоря	11	1
147	и слово	2	1
148	остается в	1	1
149	можно сказать	4	1
150	не вполне	1	1
151	или менее	1	1
152	о нем	1	1
153	произведения как	2	1
154	как на	1	1
155	приводит к	3	1
156	о том	7	1
157	и потому	1	1
158	придется отказаться	1	1
159	относятся к	1	1
160	в котором	2	1
161	только для	1	1
162	и что	1	1
163	его собственному	1	1
164	вспять к	1	1
165	он был	2	1
166	но такое	1	1
167	все его	1	1
168	быть в	1	1
169	в значительной	2	1
170	строго говоря	2	1
171	в данном	8	1
172	что же	1	1
173	бы в	3	1
174	того что	2	1
175	ряда и	1	1
176	речи в	2	1
177	произведения в	5	1
178	друг с	1	1
179	художественного впечатления	17	1
180	на его	3	1
181	что этот	1	1
182	размышлений о	1	1
183	делает и	1	1
184	за пределы	4	1
185	случилось с	1	1
186	на то	2	1
187	все детали	1	1
188	и вся	1	1
189	еще один	1	1
190	его как	2	1
191	отнюдь не	8	1
192	она не	2	1
193	еще раз	1	1
194	этом случае	4	1
195	искусство говорит	1	1
196	нас самих	1	1
197	независимо от	1	1
198	в своем	4	1
199	что с	2	1
200	они относятся	1	1
201	научного мышления	1	1
202	и все	3	1
203	художественного восприятия	2	1
204	произведения а	1	1
205	тот же	1	1
206	более или	1	1
207	объекта и	2	1
208	представляется что	1	1
209	себя на	1	1
210	всего лишь	8	1
211	т.д в	1	1
212	в которой	1	1
213	художественное впечатление	2	1
214	так или	1	1
215	он в	4	1
216	тогда когда	1	1
217	с одной	5	1
218	впрочем в	1	1
219	значимость и	1	1
220	в качестве	11	1
221	тем более	1	1
222	случае он	1	1
223	в известном	1	1
224	начала и	1	1
225	как основной	2	1
226	точно и	1	1
227	уже не	4	1
228	далеко не	1	1
229	то и	1	1
230	же в	1	1
231	и всей	1	1
232	в нем	1	1
233	или даже	2	1
234	с другом	1	1
235	но если	1	1
236	он не	2	1
237	сказать что	2	1
238	состоит из	1	1
239	одно из	2	1
240	в первую	1	1
241	данного произведения	2	1
242	случайно и	1	1
243	он и	2	1
244	в отдельности	1	1
245	в свое	1	1
246	быть обоснованы	1	1
247	самое что	1	1
248	может служить	1	1
249	у него	4	1
250	ее в	1	1
251	анализа в	1	1
252	это в	1	1
253	что при	1	1
254	отказаться от	1	1
255	к этому	2	1
256	что в	2	1
257	в таком	2	1
258	когда бы	1	1
259	все что	2	1
260	бы это	1	1
