N	2gram	Propp_Isto_6	Retstnzi
1	не может	6	4
2	и в	26	3
3	один из	3	2
4	и можно	1	1
5	в особенности	1	1
6	и не	10	1
7	тому что	1	1
8	не только	10	1
9	ни один	1	1
10	точки зрения	1	1
11	на примере	1	1
12	так называемая	1	1
13	но и	9	1
14	не менее	1	1
15	тех же	1	1
16	что изменилось	1	1
17	в ней	5	1
18	может и	1	1
19	на месте	1	1
20	в то	5	1
21	и на	12	1
22	для него	1	1
23	мы видим	5	1
24	и больше	2	1
25	сравнении с	1	1
26	к тому	2	1
27	а не	2	1
28	может быть	11	1
29	при анализе	1	1
30	несмотря на	1	1
31	в его	5	1
32	он в	1	1
33	то же	5	1
34	из этих	4	1
35	если бы	3	1
36	бы в	1	1
