N	4gram	Bakhtin_fo_2	Formalny
1	в то же время	4	7
2	и т п в	1	2
3	и в то же	2	2
4	и пр все это	1	2
5	мы имеем в виду	2	1
6	мы не касаемся здесь	1	1
7	пр и пр все	1	1
8	одного и того же	1	1
9	в том числе и	2	1
10	не выходит за пределы	1	1
11	с другой стороны в	1	1
12	с этой точки зрения	1	1
13	не значит конечно что	1	1
14	мы еще вернемся в	2	1
15	и пр и пр	1	1
16	это не значит конечно	1	1
17	в том что они	1	1
18	все более и более	1	1
19	здесь необходимо остановиться на	1	1
20	но и помимо этого	1	1
