N	2gram	Losev_Dial_1	Sotsiolo
1	все это	11	7
2	в том	9	5
3	в этом	12	5
4	и только	1	3
5	как же	5	3
6	для нас	1	3
7	не только	13	3
8	и в	18	3
9	не в	6	3
10	в его	3	3
11	как только	2	2
12	но и	7	2
13	конце концов	3	2
14	и мы	5	2
15	было бы	12	2
16	она может	1	2
17	исторического развития	1	2
18	должна быть	3	2
19	только в	3	2
20	дело не	2	2
21	по природе	1	2
22	далеко не	1	2
23	в результате	1	2
24	тем более	2	2
25	том что	9	2
26	одно дело	1	2
27	в частности	2	2
28	как будто	1	2
29	то что	13	2
30	главным образом	1	2
31	и что	12	2
32	еще не	2	2
33	только как	2	2
34	таким образом	1	2
35	это и	4	2
36	им не	1	2
37	в конце	4	2
38	что в	13	2
39	может быть	17	2
40	как бы	11	2
41	и заключается	1	2
42	по существу	1	2
43	то же	10	2
44	друг от	1	1
45	крайней мере	4	1
46	тотчас же	1	1
47	что все	1	1
48	я и	1	1
49	же не	1	1
50	по себе	25	1
51	даже в	3	1
52	сама по	8	1
53	в мире	2	1
54	не должна	2	1
55	эти вопросы	1	1
56	принять его	1	1
57	в этой	1	1
58	тому что	3	1
59	отнюдь не	9	1
60	эти два	2	1
61	даже не	3	1
62	какие же	2	1
63	и самые	1	1
64	с другой	6	1
65	в соответствующих	1	1
66	его в	1	1
67	дает нам	1	1
68	зависимость и	1	1
69	ровно ничего	5	1
70	с ним	6	1
71	это не	9	1
72	такого построения	1	1
73	не наука	2	1
74	именно в	2	1
75	в чем	6	1
76	недостаточно глубоко	1	1
77	и история	1	1
78	все же	5	1
79	же теперь	1	1
80	один из	3	1
81	и есть	16	1
82	перед нами	1	1
83	в то	6	1
84	его собственная	1	1
85	кто не	1	1
86	мысли в	2	1
87	тем же	1	1
88	и наконец	1	1
89	даже больше	2	1
90	еще и	3	1
91	только то	4	1
92	а с	2	1
93	наука а	1	1
94	и как	7	1
95	что эти	1	1
96	исследование и	1	1
97	что он	11	1
98	не пошел	1	1
99	тогда и	1	1
100	прежде всего	10	1
101	объекта и	2	1
102	в них	3	1
103	так и	9	1
104	не было	6	1
105	одной стороны	2	1
106	но только	3	1
107	и не	30	1
108	никогда не	9	1
109	зависит от	1	1
110	естествознания и	1	1
111	есть метод	1	1
112	мы не	1	1
113	это как	1	1
114	со своими	1	1
115	же время	4	1
116	ничего не	17	1
117	как то	1	1
118	между собою	2	1
119	мы еще	1	1
120	развития и	1	1
121	не мешает	4	1
122	и о	3	1
123	все эти	2	1
124	как и	2	1
125	или нет	3	1
126	бы в	3	1
127	для этого	2	1
128	этом не	1	1
129	она должна	2	1
130	мы должны	5	1
131	но она	3	1
132	против этого	1	1
133	конечно не	3	1
134	в связи	1	1
135	на первый	1	1
136	иначе и	1	1
137	и его	1	1
138	в этих	5	1
139	место в	1	1
140	связи с	1	1
141	от друга	1	1
142	или не	5	1
143	хотя бы	6	1
144	его собственные	1	1
145	и научно	1	1
146	стало быть	9	1
147	не может	12	1
148	в своей	2	1
149	только тогда	2	1
150	и должно	1	1
151	а в	5	1
152	тех кто	2	1
153	еще недостаточно	1	1
154	него и	1	1
155	что она	7	1
156	о том	4	1
157	не дает	1	1
158	именно и	1	1
159	и потому	3	1
160	же это	3	1
161	представить себе	1	1
162	больше того	4	1
163	без социологии	1	1
164	в него	2	1
165	но именно	1	1
166	в котором	4	1
167	никак не	6	1
168	между ними	1	1
169	происходит не	1	1
170	всему этому	1	1
171	на что	2	1
172	два или	2	1
173	столь же	1	1
174	всяком случае	2	1
175	где же	1	1
176	когда мы	1	1
177	в силу	1	1
178	ни на	6	1
179	должно было	1	1
180	что это	11	1
181	вовсе не	7	1
182	же самое	1	1
183	с одной	2	1
184	а между	1	1
185	но не	4	1
186	у него	1	1
187	тот занимается	1	1
188	в систему	1	1
189	в виде	2	1
190	этого и	1	1
191	в данном	3	1
192	между тем	1	1
193	но как	2	1
194	и по	1	1
195	это происходит	1	1
196	не меняет	1	1
197	по крайней	4	1
198	понимать что	1	1
199	и более	4	1
200	и стало	2	1
201	нет его	1	1
202	во всяком	4	1
203	бы они	1	1
204	в каждом	2	1
205	они не	1	1
206	это значит	11	1
