N	3gram	Savitsky_E_1	Analitik
1	в том что	6	7
2	с другой стороны	2	5
3	в свою очередь	2	4
4	и того же	1	3
5	в данном случае	2	3
6	то же время	14	3
7	той или иной	4	3
8	в то же	15	3
9	одного и того	1	3
10	к тому же	1	3
11	в этом отношении	3	3
12	дело в том	1	2
13	не более чем	2	2
14	как нам кажется	5	2
15	с точки зрения	16	2
16	в отличие от	1	2
17	в значительной степени	1	2
18	с одной стороны	8	2
19	во всяком случае	3	2
20	и прежде всего	3	2
21	можно сказать что	3	2
22	совершенно очевидно что	1	2
23	следует оговориться что	1	1
24	в этом мире	1	1
25	хотя и не	1	1
26	в той или	3	1
27	не говоря уже	2	1
28	в этом смысле	3	1
29	между тем в	3	1
30	говоря уже о	1	1
31	хотя бы и	3	1
32	же время в	1	1
33	и далее в	1	1
34	мы не станем	1	1
35	что мы знаем	1	1
36	мог бы дать	1	1
37	и в эту	1	1
38	на этот вопрос	1	1
39	ту или иную	3	1
40	как это случается	1	1
41	не только в	4	1
42	в качестве таковой	2	1
43	так и в	2	1
44	в применении к	3	1
45	принадлежат к числу	1	1
46	в известном смысле	3	1
47	не могут быть	1	1
48	в связи с	1	1
49	но как бы	1	1
50	в полной мере	1	1
51	для того чтобы	5	1
52	прежде всего к	2	1
53	один и тот	1	1
54	во второй его	1	1
55	в тех случаях	1	1
56	того или иного	4	1
57	не может быть	2	1
58	само по себе	4	1
59	в одном из	2	1
60	то есть в	1	1
61	как бы ни	3	1
62	именно потому что	1	1
63	речь идет о	1	1
64	друг от друга	2	1
65	заключается в том	2	1
66	тех случаях когда	1	1
67	в большинстве случаев	2	1
68	не сводится к	1	1
69	во многих отношениях	1	1
70	в себе не	1	1
71	и тот же	1	1
