N	2gram	Vinokur_Ku_3	Stilisti
1	и в	23	42
2	не только	17	27
3	как бы	5	27
4	прежде всего	9	22
5	хотя бы	9	17
6	то же	6	15
7	но и	3	15
8	социального общения	1	14
9	и не	10	14
10	не может	6	12
11	может быть	14	12
12	как и	5	11
13	точки зрения	23	11
14	отнюдь не	3	10
15	в этом	16	10
16	и как	2	10
17	как мы	5	10
18	мы должны	3	10
19	что мы	2	10
20	мы не	3	9
21	при этом	6	9
22	в то	3	9
23	для того	12	9
24	то что	4	9
25	в ней	3	8
26	все же	5	8
27	в себе	1	8
28	таким образом	9	8
29	тем самым	4	8
30	слово как	1	8
31	с тем	6	8
32	эти слова	2	8
33	что же	5	8
34	в зависимости	7	7
35	зависимости от	8	7
36	и на	1	7
37	в которой	1	7
38	было бы	16	7
39	и тем	6	7
40	так как	9	7
41	никогда не	1	7
42	же время	1	7
43	потому что	12	7
44	того чтобы	11	7
45	ничего не	6	7
46	слов и	5	7
47	только в	6	7
48	и его	1	7
49	а не	11	7
50	и от	1	7
51	мы будем	1	6
52	точку зрения	2	6
53	не в	5	6
54	в процессе	3	6
55	в области	14	6
56	когда мы	3	6
57	так и	6	6
58	язык и	2	6
59	и так	1	6
60	или иной	7	6
61	речи и	1	6
62	в свою	1	6
63	той же	3	5
64	уже в	3	5
65	в нашем	7	5
66	что язык	1	5
67	в той	4	5
68	независимо от	5	5
69	и с	3	5
70	того или	3	5
71	же мы	4	5
72	мы видели	3	5
73	с точки	16	5
74	и той	1	5
75	тому что	4	5
76	а в	5	5
77	же самое	1	5
78	те же	7	5
79	в его	11	5
80	и их	1	5
81	слова в	4	5
82	точек зрения	2	5
83	с помощью	6	5
84	вместе с	2	5
85	как это	7	5
86	слова и	7	5
87	у которого	1	5
88	или иного	3	5
89	если б	1	4
90	и то	1	4
91	самом деле	14	4
92	или иную	1	4
93	тем же	2	4
94	мы называем	2	4
95	что именно	3	4
96	и к	3	4
97	но в	2	4
98	в самом	13	4
99	что это	3	4
100	так сказать	2	4
101	уже не	8	4
102	можно было	11	4
103	в каждом	1	4
104	его в	2	4
105	ту или	1	4
106	и без	2	4
107	на него	3	4
108	у нас	10	4
109	но все	2	4
110	всего в	1	4
111	так называемые	1	4
112	к тому	3	4
113	той или	5	4
114	на это	1	4
115	свою очередь	1	4
116	языка и	2	4
117	если бы	8	4
118	в словах	1	4
119	о том	6	4
120	можно сказать	2	4
121	которой мы	1	4
122	все время	1	4
123	того что	11	4
124	один из	4	4
125	мы видим	1	4
126	мы увидим	1	4
127	в качестве	2	4
128	если мы	7	4
129	вопроса о	3	4
130	точка зрения	4	4
131	речь и	1	4
132	общения и	1	4
133	само собой	1	4
134	были бы	4	4
135	не просто	2	4
136	а с	3	4
137	и пр	3	4
138	в слове	4	4
139	все это	2	4
140	выбор слов	1	4
141	так же	2	4
142	вряд ли	1	3
143	отношения к	1	3
144	словом и	1	3
145	на самом	3	3
146	еще не	9	3
147	то он	3	3
148	нет и	1	3
149	или иное	2	3
150	знакомства с	1	3
151	перед нами	1	3
152	хотя и	5	3
153	зрения как	1	3
154	какую роль	1	3
155	если он	1	3
156	не к	1	3
157	слов в	1	3
158	и вот	3	3
159	будем говорить	1	3
160	здесь мы	1	3
161	не будет	1	3
162	лишь в	8	3
163	это не	3	3
164	чаще всего	1	3
165	ведь в	1	3
166	не мог	1	3
167	том что	11	3
168	что такое	4	3
169	во фразе	1	3
170	слова как	2	3
171	связи с	6	3
172	чрезвычайно важно	1	3
173	в виду	8	3
174	в ее	4	3
