N	2gram	Medvedev_I_1	Problema
1	и в	1	44
2	и не	2	35
3	в этом	2	17
4	так и	1	10
5	и с	3	9
6	он не	2	8
7	того что	1	8
8	что в	2	8
9	все эти	1	7
10	с другой	1	7
11	в целом	1	6
12	никогда не	1	6
13	жизни и	1	6
14	и сам	1	5
15	как о	1	5
16	и о	1	5
17	то и	1	5
18	все это	1	5
19	а в	1	5
20	другой стороны	1	5
21	и без	1	4
22	есть только	1	4
23	тем что	1	4
24	а также	1	4
25	говорить о	1	3
26	в художественном	1	3
27	пушкина и	1	3
28	первую очередь	1	3
29	и очень	1	3
30	ничего не	2	3
31	как только	1	3
32	если бы	1	3
33	не так	1	3
34	для него	1	3
35	могло бы	1	3
36	что для	1	3
37	в первую	1	3
38	самого себя	2	3
39	того же	1	2
40	нисколько не	1	2
41	и идей	1	2
42	на котором	1	2
43	в основе	1	2
44	что при	1	2
45	о ней	1	2
46	это было	1	2
47	себя в	1	2
48	произведения и	1	2
49	а с	1	2
50	по существу	1	2
51	другое дело	1	2
52	но когда	1	2
53	бы в	1	2
54	только что	1	2
55	по поводу	1	2
56	не остается	1	1
57	этого все	1	1
58	и ничего	1	1
59	нам в	1	1
60	а для	1	1
61	следовательно в	1	1
62	писателя а	1	1
63	и занимается	1	1
64	эти произведения	1	1
65	а если	1	1
66	следующим образом	1	1
67	от этого	1	1
68	и и	1	1
69	и тот	1	1
70	от нее	1	1
71	них не	1	1
72	в них	1	1
73	автора и	1	1
74	вплоть до	1	1
75	того чтобы	1	1
76	и гоголя	1	1
77	так то	1	1
78	и та	1	1
79	со всеми	1	1
80	без этого	1	1
81	в руки	1	1
82	для того	1	1
83	не заставлял	1	1
84	только для	1	1
85	точно и	1	1
86	бы его	1	1
