N	2gram	Berdyaev_O_1	Problema
1	то что	5	42
2	вовсе не	1	35
3	и в	19	32
4	и не	13	31
5	не есть	2	29
6	в этом	12	19
7	не только	11	17
8	потому что	9	16
9	в себе	3	15
10	по себе	2	15
11	а не	11	15
12	у нас	1	14
13	но в	2	14
14	может быть	11	14
15	указывает на	1	14
16	как бы	3	14
17	в нем	10	13
18	сказать что	2	13
19	так и	2	12
20	а именно	1	12
21	что в	4	12
22	том что	2	12
23	и даже	1	11
24	также и	1	11
25	о том	3	11
26	так как	2	11
27	прежде всего	9	10
28	ничего не	2	10
29	в этой	5	10
30	нет ничего	7	10
31	еще не	3	9
32	это есть	1	9
33	того чтобы	4	9
34	но не	1	9
35	что же	2	9
36	в том	5	9
37	но и	13	9
38	и это	1	9
39	и что	1	9
40	все эти	4	8
41	на то	1	8
42	не может	4	8
43	в своей	2	8
44	и о	2	8
45	для того	3	8
46	даже и	2	8
47	и на	2	8
48	и ее	3	8
49	было бы	3	8
50	он и	1	8
51	но это	1	8
52	во всяком	1	7
53	и все	10	7
54	того что	3	7
55	никогда не	9	7
56	смысле слова	1	7
57	тем что	2	7
58	в них	1	7
59	сам по	1	7
60	все это	6	7
61	что он	3	7
62	и здесь	1	6
63	в конце	1	6
64	так что	2	6
65	как это	1	6
66	не существует	1	6
67	и есть	3	6
68	его в	2	6
69	есть не	1	6
70	совершенно не	1	6
71	на самом	1	6
72	это не	3	6
73	хотя и	2	6
74	о чем	1	6
75	в виду	1	6
76	в самом	5	6
77	самом деле	1	6
78	и то	2	6
79	всегда есть	4	6
80	и как	1	6
81	в его	7	6
82	в сознании	1	5
83	то в	1	5
84	что она	1	5
85	не имеют	1	5
86	в других	2	5
87	можно ли	2	5
88	в котором	1	5
89	с тем	2	5
90	в своем	2	5
91	в одно	1	4
92	и ни	2	4
93	и для	2	4
94	не было	9	4
95	вообще и	1	4
96	не в	11	4
97	а в	5	4
98	совсем не	2	4
99	и пр	1	4
100	и весь	1	4
101	после этого	1	4
102	как в	1	4
103	в истории	2	4
104	один из	1	4
105	если бы	1	4
106	из них	1	3
107	как и	6	3
108	говорит о	1	3
109	что они	2	3
110	он всегда	7	3
111	учение о	2	3
112	в жизни	1	3
113	к нему	3	3
114	что это	1	3
115	с ним	3	3
116	хотя бы	3	3
117	не хочет	1	3
118	в ее	2	3
119	дело в	1	3
120	в этих	3	3
121	но он	7	3
122	нисколько не	1	3
123	и его	4	3
124	что не	4	3
125	в отношении	1	3
126	да и	1	3
127	же и	1	3
128	всяком случае	1	3
129	что все	2	3
130	только и	4	3
131	того как	1	3
132	он не	7	3
133	и менее	1	3
134	уже не	1	3
135	на этот	1	3
136	в самой	9	3
137	уже в	2	3
138	как будто	1	3
139	о нем	1	3
140	можно было	1	3
141	в которой	2	2
142	момент в	2	2
