N	3gram	Nazirov_Vr_1	FransuaR
1	в ту эпоху	1	7
2	то же время	4	6
3	в то же	4	6
4	до сих пор	1	4
5	в той же	1	4
6	но в то	2	4
7	в связи с	3	4
8	в мировой литературе	1	3
9	в этом отношении	1	2
10	как раз в	2	2
11	и во всей	1	2
12	не может быть	2	2
13	его отношение к	1	2
14	о том что	1	2
15	и все что	1	2
16	в том же	1	2
17	в начале года	2	1
18	в комментариях к	1	1
19	и всего романа	1	1
20	о том как	1	1
21	имеется в виду	1	1
22	с точки зрения	2	1
23	на первый план	1	1
24	и не может	1	1
25	он и не	1	1
26	что в нем	1	1
27	все же в	1	1
28	может быть и	1	1
29	войне и мире	1	1
30	и перед ними	1	1
31	к этому моменту	1	1
32	в высшей степени	1	1
33	и в этом	1	1
34	в году и	2	1
35	прямое выражение в	1	1
36	во всяком случае	1	1
37	и даже некоторые	1	1
38	с другой стороны	1	1
39	что они не	1	1
40	заключается в том	1	1
41	в свою очередь	1	1
42	это и есть	1	1
43	что в ней	1	1
44	связи с этим	1	1
45	и в самом	1	1
46	этим можно объяснить	1	1
47	в том что	2	1
48	ко всем чертям	1	1
