N	2gram	Tiupa_Disk_2	RusskieA
1	и в	16	29
2	том что	10	22
3	в том	8	22
4	что в	5	22
5	как бы	4	18
6	состоит в	16	15
7	в других	1	15
8	может быть	16	13
9	там же	2	12
10	в этом	16	11
11	как и	16	11
12	одна из	1	11
13	в этот	1	10
14	не только	10	10
15	и с	2	10
16	все это	2	10
17	о том	4	9
18	в некоторых	1	9
19	а в	2	9
20	его в	3	8
21	но и	11	8
22	ее в	1	8
23	как в	8	7
24	данном случае	6	7
25	представляют собой	1	7
26	мы имеем	2	6
27	мы не	1	6
28	еще не	6	6
29	и на	5	6
30	при этом	17	6
31	таким образом	1	6
32	вместе с	2	6
33	в данном	7	6
34	этом случае	2	6
35	же в	1	6
36	должна была	1	5
37	но не	7	5
38	но в	11	5
39	это не	3	5
40	не может	9	5
41	потому что	4	5
42	для этого	1	5
43	и что	1	5
44	будто бы	1	5
45	к жизни	3	5
46	то что	5	5
47	с ней	2	5
48	к этому	4	5
49	же как	2	4
50	то же	6	4
51	вопрос о	1	4
52	уже не	3	4
53	их в	2	4
54	том же	1	4
55	в них	3	4
56	далеко не	2	4
57	в которых	1	4
58	не в	3	4
59	говорится что	1	4
60	а также	8	4
61	так что	1	4
62	из них	3	4
63	именно в	2	4
64	а не	14	4
65	о чем	2	4
66	как это	1	4
67	и все	3	4
68	в году	1	3
69	в ее	1	3
70	все эти	3	3
71	в этой	4	3
72	подобно тому	2	3
73	на этом	1	3
74	живет в	2	3
75	на первый	2	3
76	в этих	3	3
77	в котором	3	3
78	в отличие	12	3
79	она не	1	3
80	в таких	1	3
81	и другой	1	3
82	должно было	1	3
83	во всех	1	3
84	того что	1	3
85	между тем	2	3
86	в качестве	16	3
87	друг друга	1	3
88	отличие от	12	3
89	тем что	1	3
90	до конца	1	3
91	тому как	2	3
92	и там	1	3
93	и от	1	3
94	но если	1	3
95	одним из	1	2
96	и то	4	2
97	переход от	1	2
98	это и	1	2
99	но она	3	2
100	это время	1	2
101	не был	1	2
102	там и	1	2
103	с одной	4	2
104	тогда как	11	2
105	а через	1	2
106	ней в	1	2
