N	3gram	Bakhtin_Pr_1	Psycholo
1	для того чтобы	2	19
2	на то что	1	16
3	в том что	3	14
4	с одной стороны	3	12
5	к тому что	1	6
6	в самом деле	3	5
7	до сих пор	1	5
8	с другой стороны	4	5
9	по сравнению с	1	4
10	именно то что	1	4
11	и как бы	1	4
12	иметь в виду	1	3
13	то же самое	2	3
14	в лучшем случае	2	3
15	с тем что	1	3
16	на этот вопрос	1	3
17	и т п	13	3
18	можно было бы	3	3
19	и т д	1	3
20	в этом отношении	2	3
21	художественной формы и	1	2
22	что иное как	1	2
23	имеет дело с	4	2
24	может быть и	1	2
25	с точки зрения	6	2
26	на первый план	2	2
27	в отличие от	5	2
28	то что в	1	2
29	в данном случае	4	2
30	сами по себе	1	2
31	если бы мы	1	2
32	не только в	2	2
33	ясно что в	1	2
34	в том и	1	2
35	о которых мы	1	2
36	все то что	3	2
37	именно в том	1	2
38	по себе не	1	2
39	не может быть	11	2
40	и в самом	1	2
41	вопрос о том	1	2
42	не что иное	1	2
43	той или иной	2	2
44	можно сказать что	2	2
45	на самом деле	3	2
46	порядка для того	1	1
47	все что угодно	1	1
48	в чем не	2	1
49	оно может быть	1	1
50	дело в том	1	1
51	по отношению к	19	1
52	равно как и	1	1
53	в этом смысле	3	1
54	идет речь в	1	1
55	то есть к	1	1
56	а в том	1	1
57	одной стороны и	1	1
58	и в этом	1	1
59	которая все время	1	1
60	до известной степени	1	1
61	где мы имеем	1	1
62	и в свою	1	1
63	по отношению ко	1	1
64	в целом в	1	1
65	и именно в	1	1
66	но несмотря на	1	1
67	есть contradictio in	1	1
68	искусства может быть	1	1
69	можно даже прямо	1	1
70	в своем целом	1	1
71	входят в эстетический	1	1
72	дело и с	5	1
73	что и здесь	1	1
74	с ними в	1	1
75	в основе своей	3	1
76	и др в	2	1
77	относится к содержанию	1	1
78	несмотря на то	1	1
79	и не в	1	1
80	то или иное	2	1
81	комедии и трагедии	1	1
82	на то чем	1	1
83	эстетический объект не	4	1
84	к этому присоединяется	1	1
85	и несмотря на	1	1
86	и в частности	2	1
87	в эстетический объект	12	1
88	мы называем все	1	1
89	показать что и	1	1
90	в применении к	3	1
91	то время как	1	1
92	в художественном произведении	4	1
93	и в его	1	1
94	смысле этого слова	1	1
95	его значение в	1	1
96	т д мы	1	1
97	не могут быть	2	1
98	это имеет место	1	1
99	contradictio in adjecto	3	1
100	художественное произведение в	3	1
101	имеем дело с	1	1
102	то есть не	1	1
103	произведение не в	1	1
104	и в романе	1	1
105	имеет дело именно	1	1
106	не может и	2	1
107	и в том	1	1
108	того или иного	2	1
109	то что не	1	1
110	совершенно не можем	1	1
111	ни в чем	2	1
112	в нем нет	1	1
113	что эстетический объект	3	1
114	или другими словами	1	1
115	в то время	1	1
116	лежащая в основе	1	1
117	в свою очередь	1	1
118	то чем является	1	1
119	в конечном счете	4	1
120	не может стать	1	1
121	данном случае к	1	1
122	рядом с ними	1	1
123	быть отнесены к	1	1
124	в том смысле	1	1
125	о той или	1	1
126	мы уже указывали	1	1
127	мы имеем дело	2	1
128	но как только	1	1
129	что у нас	1	1
130	не может в	1	1
131	формы и содержания	2	1
132	в одинаковой степени	1	1
133	вбирает в себя	1	1
134	мы еще не	1	1
135	и в другом	1	1
