N	2gram	Tiupa_Hudo_1	Poddanst
1	не только	12	17
2	и в	14	14
3	и не	2	12
4	в этом	11	10
5	н а	2	10
6	в отношении	1	10
7	в качестве	9	9
8	но в	5	9
9	то же	9	9
10	в том	12	9
11	в пределах	3	8
12	хотя бы	1	8
13	только в	5	7
14	в то	8	7
15	же время	8	7
16	в ней	4	6
17	xix века	1	6
18	было бы	6	6
19	но и	5	6
20	быть может	7	6
21	в смысле	1	6
22	в которых	1	5
23	с другой	1	5
24	может быть	5	5
25	не в	7	5
26	и о	4	5
27	первой половины	2	4
28	если бы	3	4
29	тех кто	2	4
30	а также	3	4
31	в своем	4	4
32	и к	4	4
33	как бы	7	4
34	гораздо большей	1	4
35	но также	1	4
36	том что	16	4
37	не может	7	4
38	и потому	2	4
39	большей степени	1	4
40	по себе	2	4
41	на пути	1	4
42	в гораздо	1	4
43	в русской	4	4
44	что в	6	4
45	мы должны	1	4
46	же в	3	4
47	а в	7	4
48	то что	8	4
49	и т	11	3
50	мы не	2	3
51	сводится к	1	3
52	столь же	4	3
53	между тем	8	3
54	это не	7	3
55	вслед за	1	3
56	хотя и	2	3
57	и как	1	3
58	тот же	1	3
59	с ними	2	3
60	с одной	1	3
61	в себе	11	3
62	в нем	3	3
63	сами по	1	3
64	прежде всего	11	3
65	одной стороны	1	3
66	с тем	1	3
67	что мы	1	3
68	и без	1	3
69	с точки	3	3
70	но не	3	3
71	она есть	1	3
72	могут быть	1	3
73	т е	4	3
74	тем самым	1	3
75	потому что	5	3
76	точки зрения	5	3
77	я и	2	3
78	и это	4	2
79	например в	2	2
80	в сфере	1	2
81	в ее	3	2
82	в мире	3	2
83	с с	4	2
84	одних и	1	2
85	есть нечто	1	2
86	никак не	2	2
87	в xix	1	2
88	не нужно	2	2
89	время в	1	2
90	в значительной	2	2
91	во всех	1	2
92	в которую	1	2
93	говорить о	3	2
94	если в	2	2
95	в общем	1	2
96	со стороны	3	2
97	в е	2	2
98	отнюдь не	3	2
99	с этим	3	2
100	того что	4	2
101	стороны и	1	2
102	к чему	1	2
103	есть в	1	2
104	в начале	2	2
105	главным образом	1	2
106	в его	8	2
107	из них	4	2
108	в силу	1	2
109	и вот	1	2
110	в выборе	1	2
111	как раз	4	2
112	по-видимому не	2	2
113	где в	1	2
114	и с	4	2
115	именно в	7	2
116	и тем	1	2
117	в жизни	1	2
118	для них	1	2
119	церкви и	1	2
120	не было	4	2
121	а не	12	2
122	в ряду	1	2
123	должно быть	2	2
124	человеческого счастья	1	2
125	л а	2	2
126	не столько	2	2
127	не будем	1	2
128	друг другу	1	2
129	в тот	2	2
130	культуры в	1	2
131	не менее	5	2
132	все это	2	2
133	между прочим	1	2
134	не о	2	2
135	одна из	2	2
136	н с	1	2
137	да и	2	2
138	тем более	1	2
139	для нас	1	2
140	в русскую	1	2
141	заключает в	2	2
142	может и	3	2
143	в частности	5	2
144	взгляда на	1	2
145	также и	1	1
146	глубоко в	1	1
147	же как	2	1
148	с другом	1	1
149	связана с	1	1
150	и то	1	1
151	как известно	1	1
152	на основе	2	1
153	как по	2	1
154	во времена	1	1
155	в иных	1	1
156	в себя	2	1
157	культурной традиции	1	1
158	смысл этого	1	1
159	по преимуществу	3	1
160	к жизни	5	1
161	на две	1	1
162	в рамки	1	1
163	первой половине	3	1
164	был и	1	1
165	и творческой	1	1
166	поскольку она	1	1
167	на нее	1	1
168	его нет	1	1
169	за то	1	1
170	особенно в	2	1
171	еще в	3	1
172	русской культуре	1	1
173	ли их	1	1
174	что уже	1	1
175	внимание к	1	1
176	ослабевает и	1	1
177	находится в	1	1
178	с ее	2	1
179	и ее	1	1
180	может не	1	1
181	не означает	2	1
182	и что	2	1
183	литературы и	1	1
184	еще не	7	1
185	и на	3	1
186	виде то	1	1
187	с того	2	1
188	с его	5	1
189	восходит к	1	1
190	за последние	1	1
191	различия между	1	1
192	не все	1	1
193	отличие от	1	1
194	выступает как	1	1
195	также в	2	1
196	м е	1	1
197	к внешнему	1	1
198	в рамках	2	1
199	а она	1	1
200	вот как	1	1
201	человеческого бытия	3	1
202	поднимаясь к	1	1
203	все же	3	1
204	не два	1	1
205	в отрыве	1	1
206	более или	1	1
207	в какой	1	1
208	в самом	4	1
209	но как	2	1
210	в которой	1	1
211	во времени	1	1
212	их не	1	1
213	в творениях	2	1
214	из этих	1	1
215	именно на	1	1
216	человека с	1	1
217	себя в	4	1
218	это от	1	1
219	переходит в	1	1
220	что его	1	1
