N	3gram	Propp_Russ_1	KFilosof
1	по отношению к	1	21
2	с точки зрения	3	10
3	на самом деле	1	3
4	и в этом	1	3
5	только по отношению	1	2
6	ничего общего не	1	2
7	здесь мы имеем	1	2
8	во всех этих	1	2
9	вопрос о том	1	2
10	тем не менее	3	2
11	в том что	15	2
12	чем ближе к	1	1
13	ни о каких	1	1
14	на то что	1	1
15	а следовательно и	1	1
16	то что и	1	1
17	время от времени	1	1
18	и того же	1	1
19	в настоящее время	3	1
20	можно говорить об	1	1
21	время вместе с	1	1
22	и та же	1	1
23	независимо от того	1	1
24	о том кто	1	1
25	но это не	2	1
26	в противном случае	1	1
27	может быть правильно	1	1
28	это не имеет	1	1
29	вместе с тем	6	1
30	и как бы	1	1
31	может быть и	2	1
32	не потому что	1	1
33	это не значит	2	1
34	и всей своей	1	1
35	во всяком случае	1	1
36	быть не может	1	1
37	одна и та	1	1
38	и пр и	1	1
39	мы не можем	3	1
40	в свою очередь	2	1
41	же с точки	1	1
42	одного и того	1	1
43	во второй половине	1	1
44	в большинстве случаев	2	1
45	к тому что	4	1
46	не значит что	2	1
47	мы имеем здесь	1	1
48	что и в	1	1
49	но ни одно	1	1
50	только тогда когда	1	1
51	не имеет смысла	1	1
