N	3gram	Berdyaev_V_1	StatiiOP
1	в том что	2	16
2	и т д	2	6
3	том что он	2	5
4	вместе с тем	1	5
5	к тому что	3	5
6	после того как	1	4
7	с другой стороны	1	3
8	бы то ни	1	2
9	и в этом	1	2
10	в этих словах	1	2
11	так и в	1	2
12	но все же	1	2
13	за то что	3	2
14	а между тем	2	1
15	и теперь еще	1	1
16	было не по	1	1
17	не к тому	1	1
18	если оно не	1	1
19	в конце концов	1	1
20	потому что оно	1	1
21	в известном смысле	1	1
22	по сравнению с	1	1
23	и вместе с	1	1
24	а к тому	1	1
25	самого себя и	1	1
26	вместо того чтобы	2	1
27	против того что	1	1
28	и все это	1	1
29	все это имеет	1	1
30	это еще не	2	1
