1	в то время как	3	5
2	заключается в том что	1	5
3	по самой своей природе	1	4
4	в том смысле что	3	2
5	с самого начала что	1	2
6	если принять во внимание	2	2
7	по образу и подобию	1	1
8	есть не что иное	2	1
9	это не значит что	2	1
10	точно так же как	1	1
11	но как раз в	1	1
12	и в другом случае	1	1
13	приводит к тому что	1	1
14	до сих пор мы	1	1
15	в том и в	1	1
16	то время как в	1	1
17	не содержит в себе	1	1
18	в связи с этим	1	1
19	а потому что они	1	1
20	том и в другом	1	1
21	только тогда когда оно	2	1
22	так же как и	1	1
23	не что иное как	3	1
24	принять во внимание что	1	1
