N	3gram	Vinokur_Vv_1	PoTuStor
1	с точки зрения	2	6
2	на самом деле	1	4
3	с самого начала	1	4
4	в этом смысле	10	3
5	до сих пор	5	3
6	по крайней мере	4	3
7	по сравнению с	3	3
8	во всяком случае	3	3
9	не может быть	8	3
10	можно сказать что	3	3
11	так же как	1	2
12	в самом деле	5	2
13	но в общем	1	2
14	не могут быть	2	2
15	все то что	1	2
16	о том что	12	2
17	и в этом	3	2
18	во всех его	1	2
19	нечего и говорить	1	2
20	и того же	2	1
21	дело в том	2	1
22	мы имеем в	1	1
23	вообще не может	2	1
24	да притом еще	1	1
25	имеем в виду	1	1
26	со стороны формы	1	1
27	подобно тому как	1	1
28	одного и того	2	1
29	во многих случаях	1	1
30	то же самое	2	1
31	этом смысле они	1	1
32	бы то ни	1	1
33	в этом отношении	3	1
34	можно было бы	3	1
35	как это было	1	1
36	все же в	1	1
37	и говорить о	1	1
38	каждое из этих	1	1
39	с этой точки	1	1
40	вместе с тем	3	1
41	было до сих	1	1
42	в данном случае	4	1
43	то ни было	1	1
44	что может быть	3	1
45	с одной стороны	4	1
46	в связи с	2	1
47	только в одном	1	1
48	как один из	1	1
49	в применении к	6	1
50	то что можно	1	1
51	имеем дело с	1	1
52	но вместе с	2	1
53	в них и	1	1
54	для нашего времени	1	1
55	в известных пределах	1	1
56	в свое время	2	1
57	в том что	12	1
58	на вопрос о	4	1
59	из всего сказанного	1	1
60	этой точки зрения	1	1
61	увидим что оно	1	1
62	самом деле есть	1	1
63	говорить о том	1	1
64	его отношение к	1	1
65	связи с этим	1	1
66	прежде всего к	1	1
67	и прежде всего	1	1
68	что иное как	4	1
69	на этом пути	1	1
70	все эти разнородные	1	1
71	не что иное	4	1
72	мы уже знаем	1	1
73	для того чтобы	21	1
74	как мы знаем	1	1
75	обратим внимание на	1	1
76	той или иной	1	1
