N	2gram	Medvedev_F_2	Myshleni
1	в том	11	33
2	том что	2	27
3	точки зрения	8	26
4	в развитии	2	26
5	то что	6	20
6	в этом	27	19
7	с точки	7	18
8	того что	3	17
9	мышления и	1	16
10	и в	38	15
11	не только	9	15
12	речи и	3	15
13	таким образом	20	14
14	что в	7	14
15	и речи	5	13
16	того чтобы	3	12
17	говорит он	5	12
18	что он	5	12
19	в самом	16	11
20	в процессе	9	11
21	мы не	3	10
22	для того	3	10
23	но и	13	10
24	в целом	3	10
25	было бы	6	10
26	о том	1	9
27	не может	14	9
28	связи с	13	9
29	мышления в	1	9
30	в сущности	4	9
31	может быть	23	9
32	не является	3	9
33	в своем	1	9
34	так и	8	8
35	не в	15	8
36	к действительности	3	8
37	никогда не	2	8
38	если бы	5	8
39	во всяком	5	7
40	как бы	4	7
41	по себе	7	7
42	потому что	2	7
43	к тому	4	7
44	высшей степени	4	7
45	и не	20	7
46	тот же	1	7
47	он не	6	7
48	одной стороны	1	7
49	с одной	1	7
50	в высшей	4	7
51	едва ли	2	7
52	мы знаем	3	7
53	как и	9	6
54	вовсе не	11	6
55	на то	1	6
56	что это	3	6
57	к которому	1	6
58	в теории	4	6
59	там где	4	6
60	как это	2	6
61	речи в	1	6
62	вместе с	6	6
63	по этому	2	6
64	в связи	10	6
65	мы видели	4	6
66	зависимости от	3	6
67	и к	4	6
68	если мы	5	6
69	как мы	7	6
70	мы должны	1	6
71	как он	1	6
72	в учении	2	6
73	сказать что	2	6
74	в истории	6	6
75	всяком случае	5	6
76	в виду	2	6
77	в зависимости	3	6
78	в этой	6	6
79	как известно	1	6
80	что эта	2	6
81	но в	4	6
82	с другой	3	6
83	на этот	1	6
84	самом деле	8	6
85	на деле	1	5
86	вопрос о	1	5
87	эта проблема	1	5
88	приводит к	2	5
89	от действительности	1	5
90	с помощью	10	5
91	социальной среде	1	5
92	учении о	1	5
93	это не	2	5
94	и даже	4	5
95	то же	6	5
96	полагает что	1	5
97	показать что	1	5
98	во всей	2	5
99	представление о	2	5
100	по существу	7	5
101	и др	3	5
102	и их	3	5
103	уже в	2	5
104	можно было	1	5
105	этот вопрос	2	5
106	в которой	2	4
107	для всех	1	4
108	в них	1	4
109	все же	8	4
110	и с	9	4
111	для нас	1	4
112	в предисловии	2	4
113	так же	1	4
114	прежде всего	15	4
115	потребность в	1	4
116	что его	1	4
117	как раз	6	4
118	даже в	2	4
119	хотя бы	6	4
120	связана с	1	4
121	в своей	7	4
122	а в	6	4
123	в эту	1	4
124	независимо от	4	4
125	к этому	4	4
126	не имеет	2	4
127	как в	4	4
128	из этих	3	4
129	и его	21	4
130	в качестве	2	4
131	является для	2	4
132	предисловии к	2	4
133	только в	6	4
134	их в	2	4
135	из того	1	4
136	несмотря на	1	4
137	все это	3	4
138	с его	11	4
139	при помощи	2	4
140	том чтобы	1	4
141	что оно	4	4
142	так как	4	4
143	от его	2	4
144	все эти	6	3
145	языка и	12	3
146	тех особенностей	1	3
147	данном случае	1	3
148	в собственном	1	3
149	смысле этого	1	3
150	отличие от	2	3
151	того же	1	3
152	что они	4	3
153	при этом	9	3
154	для себя	1	3
155	здесь и	4	3
156	чем это	1	3
157	этого слова	1	3
158	этому поводу	1	3
159	и все	3	3
160	с ним	2	3
161	и значением	3	3
162	вот почему	1	3
163	не можем	1	3
164	но не	2	3
165	к установлению	1	3
166	и только	5	3
167	ничем не	2	3
168	одной из	1	3
169	для него	7	3
170	собственном смысле	1	3
171	должны были	2	3
172	что для	2	3
173	и сам	1	3
174	в отличие	2	3
175	и особенно	1	3
176	речь в	1	3
177	идет о	2	3
178	они не	4	3
179	все время	6	3
180	с другими	10	3
181	лишь в	7	3
182	или в	3	3
183	из тех	1	3
184	на самом	3	3
185	с этим	5	3
186	и наблюдения	1	3
187	но на	1	3
188	в результате	6	3
189	решающее значение	1	3
190	ничего не	4	3
191	очевидно что	2	3
192	мы имеем	1	3
193	в основе	5	3
194	лежит в	1	3
195	для этого	2	3
196	он в	2	3
197	не существует	1	3
198	что именно	2	3
199	значение в	1	3
200	этом отношении	7	3
201	с собой	1	3
202	мы будем	1	3
203	те же	1	3
204	в общем	5	3
205	и до	3	3
206	а не	6	3
207	которых он	1	3
208	и ее	6	3
209	точка зрения	1	3
210	и это	2	3
211	со стороны	2	3
212	из них	4	3
213	состоит в	2	3
214	речи но	2	3
215	вытекает из	1	3
216	тем самым	2	3
217	и по	2	3
218	в данном	1	3
219	вопрос не	1	2
220	самый язык	1	2
221	в себе	1	2
222	и языком	1	2
223	в ущерб	1	2
224	все те	1	2
225	в другом	1	2
226	это все	1	2
227	то он	1	2
228	говорить о	5	2
229	же это	2	2
230	можно сказать	1	2
231	к речи	1	2
232	и самый	1	2
233	от этого	3	2
234	его с	3	2
235	смысле мы	1	2
236	в более	1	2
237	и для	5	2
238	только тогда	1	2
239	учения о	1	2
240	для всего	2	2
241	и другой	1	2
242	плоскости в	1	2
243	связь с	1	2
244	мышления но	1	2
245	для обозначения	1	2
246	увидим что	1	2
247	более или	1	2
248	на место	1	2
249	языка у	4	2
250	как увидим	2	2
251	в некоторых	4	2
252	тому чтобы	2	2
253	не дает	1	2
254	вообще в	1	2
255	что на	2	2
256	в их	6	2
257	на язык	2	2
258	исключительно с	1	2
259	каким образом	1	2
260	его к	1	2
261	и другое	2	2
262	ли можно	1	2
263	но все	3	2
264	что же	5	2
265	судить о	1	2
266	этом смысле	2	2
267	в ином	3	2
268	эта теория	1	2
269	но если	1	2
270	отрыве от	1	2
271	и теперь	4	2
272	к ней	1	2
273	к вопросу	1	2
274	и других	2	2
275	в его	10	2
276	в этих	2	2
277	сама по	1	2
278	и более	2	2
279	следующим образом	1	2
280	в других	7	2
281	следует что	3	2
282	ее в	2	2
283	что если	1	2
284	в первый	5	2
285	к его	2	2
286	общего с	1	2
287	за собой	1	2
288	на эту	1	2
289	в фонетическом	1	2
290	и мы	1	2
291	которые он	1	2
292	он является	1	2
293	что и	8	2
294	не то	3	2
295	во всех	5	2
296	во всем	1	2
297	мы увидим	1	2
298	во все	1	2
299	и есть	1	2
300	ни в	2	2
301	должно быть	2	2
302	в книге	1	2
303	как только	1	2
304	моментов в	1	2
305	тем что	8	2
306	помощью которого	1	2
307	той же	1	2
308	но ведь	3	2
309	не могло	1	2
310	совершенно в	1	2
311	этом пункте	2	2
312	без всякого	1	2
313	почему нельзя	1	2
314	как например	2	2
315	с их	1	2
316	однако и	3	2
317	и тем	2	2
318	в котором	2	2
319	этих фактов	1	2
320	же как	3	2
321	могут быть	6	2
322	именно в	5	2
323	условий в	1	2
324	своем развитии	2	2
325	находится в	2	2
326	целом но	1	2
327	остается в	1	2
328	и само	1	2
329	о языке	4	2
330	или во	1	2
331	в такой	2	2
332	не могут	7	2
333	когда в	1	2
334	должен быть	1	2
335	этих двух	2	2
336	из виду	1	2
337	столь же	2	2
338	но что	1	2
339	все равно	1	2
340	и всю	1	2
341	чем в	1	2
342	не следует	4	2
343	целый ряд	1	2
344	или менее	1	2
345	он должен	1	2
346	за пределы	1	2
347	перед нами	2	2
348	отнюдь не	8	2
349	сам становится	1	2
350	роли в	1	2
351	и эта	1	2
352	и как	3	2
353	в первой	1	2
354	полагая что	1	2
355	в применении	2	2
356	всей его	1	2
357	но для	1	2
358	той или	1	2
359	или более	2	1
360	быть с	1	1
361	точек зрения	1	1
362	самого процесса	1	1
363	по тем	1	1
364	материал для	1	1
365	и там	1	1
366	и этот	1	1
367	исследования и	1	1
368	лишь постольку	3	1
369	жизни а	1	1
370	еще одну	2	1
371	это может	1	1
372	им как	1	1
373	в словах	1	1
374	для правильной	1	1
375	бы быть	1	1
376	всего раннего	1	1
