N	3gram	Medvedev_V_1	StatiiOP
1	и т д	14	21
2	в том что	5	17
3	о том что	3	11
4	для того чтобы	3	10
5	и т п	9	9
6	можно было бы	2	8
7	до сих пор	1	7
8	в этом отношении	13	7
9	в данном случае	1	6
10	с другой стороны	8	6
11	во всяком случае	1	6
12	в самом деле	1	5
13	в этой области	3	5
14	не может быть	8	5
15	т д но	1	4
16	то же время	5	4
17	не только в	2	4
18	в том отношении	2	4
19	того или иного	1	4
20	в то же	5	4
21	по отношению к	7	3
22	по меньшей мере	1	3
23	только в том	2	3
24	то или иное	1	3
25	в применении к	1	3
26	так же как	1	3
27	на эти вопросы	2	3
28	ничего общего с	1	3
29	не значит что	1	3
30	в том числе	2	2
31	хотя бы и	5	2
32	но и в	1	2
33	том числе и	2	2
34	может быть и	1	2
35	по крайней мере	2	2
36	говорит о том	1	2
37	но с другой	1	2
38	но в то	1	2
39	с одной стороны	2	2
40	в то время	1	2
41	имеет ничего общего	1	2
42	отношении что они	1	2
43	имеем дело с	1	2
44	так или иначе	1	2
45	не в том	2	2
46	т е в	2	2
47	чуть ли не	2	2
48	не имеет ничего	1	2
49	то что в	1	2
50	вопрос о том	1	2
51	в статье о	1	2
52	по этому поводу	7	2
53	том отношении что	2	2
54	вот несколько примеров	1	2
55	в том смысле	1	2
56	дело не в	1	2
57	то все же	1	1
58	в другом месте	2	1
59	а между тем	1	1
60	у пушкина в	1	1
61	не может не	2	1
62	как это делает	3	1
63	в одном из	3	1
64	в той или	1	1
65	той или иной	1	1
66	в которой он	1	1
67	ответ на этот	1	1
68	т е тот	1	1
69	ответа на эти	1	1
70	не говоря уже	1	1
71	также и в	2	1
72	выйти за пределы	1	1
73	в этом смысле	1	1
74	а не по	1	1
75	в соответствии с	1	1
76	нет ни одного	1	1
77	в том же	1	1
78	его работе над	1	1
79	же как и	1	1
80	представляет собою особенно	1	1
81	говоря уже о	1	1
82	в зависимости от	5	1
83	сами по себе	1	1
84	что он не	1	1
85	каждой из этих	2	1
86	только то что	2	1
87	очевидно что для	1	1
88	еще не означает	1	1
89	это вовсе не	1	1
90	на этот вопрос	1	1
91	может быть даже	1	1
92	в каждом отдельном	2	1
93	как увидим ниже	1	1
94	см хотя бы	1	1
95	в том случае	1	1
96	некоторые из них	1	1
97	ту или иную	1	1
98	о том как	3	1
99	то время как	1	1
100	в прямом смысле	1	1
101	можно ли считать	1	1
102	в том чтобы	2	1
103	этому поводу с	1	1
104	в печатном тексте	1	1
105	действительному положению вещей	1	1
106	и в то	3	1
107	быть и речи	1	1
108	как будто бы	1	1
109	и по отношению	1	1
110	во всех этих	1	1
111	но даже и	1	1
112	прежде всего необходимо	1	1
113	никаких оснований видеть	1	1
114	пушкину и в	1	1
115	уже о том	1	1
116	об этом у	1	1
117	для правильного понимания	1	1
118	именно в том	1	1
119	нет никаких оснований	2	1
120	а в том	1	1
121	сих пор не	1	1
122	таким образом в	2	1
123	том смысле что	1	1
124	даже и в	1	1
125	спорного и просто	1	1
126	т е из	1	1
127	из них и	1	1
128	те или иные	1	1
129	и без того	1	1
130	и никогда не	1	1
131	хотя бы в	3	1
132	может быть признана	1	1
133	и не может	2	1
134	может быть никакого	1	1
135	в этой системе	1	1
136	т е не	1	1
137	мы говорим о	1	1
138	оснований видеть в	1	1
139	что в своем	1	1
140	этой области не	1	1
141	после того как	1	1
142	к тому что	3	1
143	в результате этого	1	1
144	если бы все	1	1
145	мы имеем дело	1	1
146	дают возможность поднять	1	1
147	но ведь это	1	1
148	и это самое	1	1
149	обратил внимание на	1	1
150	могло бы быть	1	1
151	в конце концов	2	1
152	том что и	1	1
153	что он в	1	1
