N	3gram	Potebnia_M_2	Sovremen
1	мы не можем	3	6
2	не может быть	2	4
3	мы видели что	1	3
4	с самого начала	2	3
5	тем не менее	5	2
6	во всяком случае	7	2
7	в отличие от	1	2
8	в свою очередь	6	2
9	с одной и	1	1
10	из них это	1	1
11	и может быть	2	1
12	в том как	1	1
13	тем же путем	1	1
14	и в этом	1	1
15	одной стороны и	1	1
16	по крайней мере	5	1
17	не могут быть	3	1
18	в одном случае	1	1
19	не в том	2	1
20	в связи с	1	1
21	но только не	1	1
22	дело в том	1	1
23	на самом деле	2	1
24	как и во	2	1
25	в этом смысле	2	1
26	и той же	1	1
27	в этом случае	1	1
28	один и тот	1	1
29	у нас есть	1	1
30	не было бы	4	1
31	до сих пор	4	1
32	и во всех	2	1
33	то же время	2	1
34	в первое время	1	1
35	в действительности развивается	1	1
36	но тем не	3	1
37	сами по себе	7	1
38	друг на друга	1	1
39	бы то ни	1	1
40	мы не знаем	1	1
41	например указать на	1	1
42	очень важную роль	1	1
43	но все эти	1	1
44	заключает в себе	4	1
45	и не может	1	1
46	но все же	1	1
47	мы знаем что	1	1
48	мы говорим о	1	1
49	не можем определить	1	1
50	не может но	1	1
51	может быть только	1	1
52	может стать в	1	1
53	что в каждом	1	1
54	в том случае	1	1
55	в то же	2	1
56	ничего не имеют	1	1
57	это как бы	1	1
58	одной и той	1	1
59	в себе в	1	1
60	в том что	7	1
61	то ни было	1	1
62	с одной стороны	3	1
63	и тот же	1	1
