N	4gram	Vinokur_Ku_3	Analitik
1	в то же время	1	6
2	и не может быть	1	4
3	в той или иной	2	3
4	той мере в какой	1	2
5	одного и того же	2	2
6	в той мере в	1	2
7	ни в коем случае	1	2
8	обращает на себя внимание	1	1
9	на тех же основаниях	1	1
10	есть не более чем	1	1
11	а то и просто	1	1
12	в самом деле как	1	1
13	в собственном смысле слова	1	1
14	и вместе с тем	1	1
15	одной и той же	1	1
16	в самом деле в	1	1
17	той или иной форме	1	1
18	с этой точки зрения	1	1
19	до тех пор пока	4	1
20	один и тот же	2	1
21	не только в том	1	1
22	лишь в том случае	2	1
23	не говоря уже о	2	1
