N	2gram	Bakhtin_sl_1	Psycholo
1	в том	3	37
2	и в	41	32
3	и что	1	22
4	то есть	26	21
5	том что	2	21
6	потому что	2	21
7	таким образом	9	21
8	может быть	14	18
9	так же	2	18
10	точки зрения	16	17
11	что и	1	17
12	не может	14	17
13	что она	1	16
14	того чтобы	1	14
15	то же	14	13
16	в этом	12	13
17	при этом	6	13
18	для того	2	13
19	в самом	5	12
20	заключается в	1	12
21	не только	16	12
22	если мы	2	12
23	так как	3	12
24	на то	1	11
25	было бы	3	11
26	в основе	5	11
27	и т	28	10
28	с точки	8	10
29	но и	16	10
30	как и	4	10
31	и не	16	10
32	как в	8	9
33	никогда не	3	9
34	что все	2	9
35	с таким	1	8
36	той же	2	8
37	не в	7	8
38	не менее	1	8
39	дело с	1	8
40	т п	23	8
41	того что	3	8
42	поэзии и	4	7
43	в сущности	13	7
44	что они	2	7
45	все эти	9	7
46	и его	14	7
47	к тому	3	7
48	можно было	2	7
49	только в	6	7
50	что для	1	7
51	а не	15	7
52	сказать что	2	7
53	в этой	1	6
54	целый ряд	1	6
55	он не	3	6
56	если бы	1	6
57	формы и	3	6
58	те же	2	6
59	о том	3	6
60	все время	3	6
61	тот же	1	6
62	как бы	12	6
63	художественного произведения	1	5
64	на самом	2	5
65	и на	14	5
66	только на	2	5
67	на все	2	5
68	далеко не	5	5
69	все это	5	5
70	в то	14	5
71	есть только	1	5
72	в ней	4	5
73	и даже	6	5
74	до сих	2	5
75	сих пор	2	5
76	как раз	2	5
77	этом отношении	1	5
78	как на	1	5
79	ту же	4	4
80	же как	2	4
81	есть не	1	4
82	мы имеем	1	4
83	столь же	2	4
84	из которого	1	4
85	с этим	3	4
86	все же	7	4
87	в действительности	1	4
88	в целом	2	4
89	и те	2	4
90	в нем	30	4
91	к одному	1	4
92	одной и	1	4
93	и по	2	4
94	и с	4	4
95	и тем	2	4
96	в жизни	1	4
97	несмотря на	1	4
98	в данном	3	4
99	и той	2	4
100	которые в	3	4
101	и более	1	4
102	тому что	2	4
103	но только	1	4
104	ничего не	4	4
105	и до	1	4
106	в сознании	2	4
107	и для	4	4
108	могут быть	19	4
109	тем не	1	4
110	и это	1	4
111	данном случае	3	4
112	и сам	3	4
113	между тем	2	4
114	в языке	5	4
115	мы видим	2	4
116	из них	3	4
117	от того	1	4
118	а на	2	4
119	когда она	1	4
120	с этой	3	4
121	поэтического творчества	1	4
122	и все	4	4
123	а в	6	4
124	совершенно не	2	4
125	из этого	3	4
126	жизни и	1	4
127	например в	2	3
128	отношении к	6	3
129	и то	2	3
130	мы не	2	3
131	или же	1	3
132	время как	2	3
133	имеет дело	2	3
134	и он	1	3
135	которое он	1	3
136	во всех	17	3
137	но как	1	3
138	а только	1	3
139	в общем	1	3
140	которые не	1	3
141	как к	2	3
142	и к	5	3
143	но в	8	3
144	та же	1	3
145	он в	5	3
146	в поэзии	3	3
147	не к	1	3
148	не как	4	3
149	на этом	2	3
150	это было	1	3
151	в своей	7	3
152	это только	1	3
153	в их	4	3
154	в которых	1	3
155	поэтического произведения	1	3
156	но он	2	3
157	в отношении	6	3
158	видим что	1	3
159	во всем	1	3
160	в каком	1	3
161	не могут	3	3
162	на это	1	3
163	с ее	4	3
164	в виду	1	3
165	то время	2	3
166	и совершенно	1	3
167	так и	11	3
168	жизнь и	1	3
169	для этого	1	3
170	образом в	3	3
171	с другой	5	3
172	бы и	3	3
173	один из	4	3
174	и так	1	3
175	и ее	3	3
176	так что	2	3
177	что не	1	3
178	и других	3	3
179	и их	1	3
180	которых мы	1	3
181	до конца	12	3
182	в частности	2	3
183	того или	2	3
184	по своему	2	3
185	по существу	3	3
186	в смысле	4	3
187	при всем	3	3
188	еще более	5	3
189	хотя бы	3	3
190	только как	1	3
191	в свою	3	3
192	же мы	1	3
193	который не	1	3
194	также и	3	2
195	того же	6	2
196	не остается	1	2
197	и без	1	2
198	к людям	1	2
199	не имеют	1	2
200	еще не	4	2
201	входящих в	1	2
202	из всех	1	2
203	при анализе	1	2
204	в первый	1	2
205	оба эти	1	2
206	эта форма	3	2
207	как во	1	2
208	но даже	1	2
209	к своему	6	2
210	произведение и	1	2
211	бы то	1	2
212	роман и	5	2
213	с его	4	2
214	в ее	2	2
215	но не	2	2
216	точка зрения	8	2
217	отличие от	1	2
218	в очень	1	2
219	могли бы	1	2
220	что по	1	2
221	которую оно	1	2
222	из самых	1	2
223	в которой	4	2
224	бы не	1	2
225	и тот	1	2
226	в себе	3	2
227	имеем в	1	2
228	т д	5	2
229	тем и	2	2
230	они в	2	2
231	в узком	10	2
232	на его	8	2
233	в каждом	4	2
234	подход к	1	2
235	то ни	1	2
236	значение в	1	2
237	с другими	5	2
238	и которые	1	2
239	это не	6	2
240	форму и	1	2
241	произведение как	1	2
242	в них	6	2
243	смысл и	1	2
244	не значит	1	2
245	всяком случае	5	2
246	место в	1	2
247	и эти	2	2
248	том и	2	2
249	том же	4	2
250	в этих	2	2
251	оно конечно	1	2
252	произведения как	3	2
253	в процессе	4	2
254	в самых	2	2
255	того и	1	2
256	имеет свой	2	2
257	в самой	1	2
258	же время	12	2
259	которая не	3	2
260	ни в	1	2
261	как только	3	2
262	отличается от	1	2
263	его с	1	2
264	оно не	6	2
265	она не	3	2
266	свою очередь	2	2
267	сводится к	1	2
268	романе в	3	2
269	то или	1	2
270	в особенности	8	2
271	так в	2	2
272	роль в	2	2
273	на том	2	2
274	на которую	1	2
275	даны в	1	2
276	и вообще	2	2
277	в таком	1	2
278	именно потому	1	2
279	и здесь	3	2
280	во всяком	7	2
281	области поэзии	1	2
282	к действительности	1	2
283	и содержание	1	2
284	что самое	1	2
285	в его	13	2
286	а потому	1	2
287	и только	1	2
288	и следовательно	7	2
289	в него	3	2
290	к нему	5	2
291	в драме	1	2
292	в поэтическом	7	2
293	в какой	1	2
294	именно на	1	2
295	одни и	1	2
296	и у	2	2
