N	2gram	Tiupa_Disk_2	Sotsiolo
1	все это	2	7
2	в том	8	5
3	в этом	16	5
4	и только	1	3
5	более чем	2	3
6	не только	10	3
7	и в	16	3
8	не в	3	3
9	в его	3	3
10	за пределы	1	2
11	но и	11	2
12	исторического развития	1	2
13	должна быть	2	2
14	только в	3	2
15	дело не	1	2
16	по природе	2	2
17	далеко не	2	2
18	в результате	2	2
19	том что	10	2
20	в частности	12	2
21	как будто	3	2
22	то что	5	2
23	и что	1	2
24	еще не	6	2
25	таким образом	1	2
26	это и	1	2
27	отношению к	4	2
28	что в	5	2
29	может быть	16	2
30	как бы	4	2
31	по отношению	4	2
32	то же	6	2
33	друг от	1	1
34	крайней мере	1	1
35	я и	4	1
36	право на	1	1
37	опираясь на	1	1
38	даже в	1	1
39	а вот	1	1
40	в мире	11	1
41	в этой	4	1
42	отнюдь не	6	1
43	более не	1	1
44	с другой	5	1
45	ни одно	2	1
46	его в	3	1
47	с ним	1	1
48	это не	3	1
49	на этот	1	1
50	именно в	2	1
51	в чем	1	1
52	все же	6	1
53	один из	1	1
54	и есть	1	1
55	перед нами	3	1
56	в то	5	1
57	мысли в	1	1
58	и наконец	3	1
59	еще и	1	1
60	только то	1	1
61	а с	5	1
62	тем что	1	1
63	в наше	2	1
64	и как	3	1
65	в процессе	1	1
66	что он	2	1
67	прежде всего	7	1
68	слова но	1	1
69	объекта и	2	1
70	в них	3	1
71	так и	9	1
72	не было	3	1
73	к субъекту	1	1
74	одной стороны	4	1
75	и не	15	1
76	в любой	1	1
77	никогда не	2	1
78	наше время	2	1
79	мы не	1	1
80	же время	5	1
81	ничего не	1	1
82	все эти	3	1
83	как и	16	1
84	для этого	1	1
85	этом не	1	1
86	иначе говоря	3	1
87	в таких	1	1
88	в сущности	1	1
89	благодаря тому	1	1
90	но она	3	1
91	на первый	2	1
92	и его	3	1
93	в этих	3	1
94	место в	2	1
95	утверждение будто	1	1
96	от друга	1	1
97	или не	1	1
98	в целом	2	1
99	стало быть	1	1
100	не может	9	1
101	в своей	6	1
102	строгом значении	2	1
103	и должно	1	1
104	а в	2	1
105	как искусство	1	1
106	о том	4	1
107	не дает	1	1
108	в области	2	1
109	же это	1	1
110	но именно	1	1
111	в котором	3	1
112	никак не	1	1
113	в строгом	3	1
114	между ними	1	1
115	точке зрения	1	1
116	исторической поэтики	2	1
117	автор с	1	1
118	все то	1	1
119	может не	1	1
120	столь же	3	1
121	время в	2	1
122	всяком случае	1	1
123	нет а	1	1
124	в силу	1	1
125	должно было	1	1
126	в конечном	1	1
127	вовсе не	1	1
128	вопрос автор	1	1
129	с одной	4	1
130	может служить	1	1
131	а между	1	1
132	упрощенно говоря	1	1
133	но не	7	1
134	в данном	7	1
135	между тем	2	1
136	что на	2	1
137	конечном счете	1	1
138	по крайней	1	1
139	это по	1	1
140	и более	1	1
141	во всяком	1	1
