N	3gram	Bakhtin_KF_1	Problema
1	с точки зрения	9	11
2	той или иной	2	11
3	тем не менее	2	10
4	в том что	2	8
5	то же самое	1	6
6	ни в каком	2	5
7	во всяком случае	1	4
8	имеем в виду	2	3
9	на самом деле	3	3
10	в этом смысле	3	3
11	только в том	1	3
12	вместе с тем	1	3
13	и тем не	1	3
14	в зависимости от	1	3
15	того или иного	3	3
16	той или другой	1	3
17	и ни в	2	3
18	ни о каких	1	2
19	хотя бы и	1	2
20	в том смысле	1	2
21	в другом случае	1	2
22	здесь не в	1	2
23	это не имеет	1	2
24	здесь мы имеем	2	2
25	едва ли кто-нибудь	1	2
26	в одном случае	1	2
27	для того чтобы	1	2
28	вовсе не есть	2	2
29	это и не	1	2
30	в то же	2	2
31	дело не в	1	2
32	и только в	2	2
33	в единый и	1	1
34	и ни к	1	1
35	в виду и	1	1
36	и может быть	2	1
37	на том что	1	1
38	а следовательно и	1	1
39	в чем не	4	1
40	не имеем в	2	1
41	и это будет	1	1
42	дело здесь не	2	1
43	дело в том	1	1
44	между прочим и	1	1
45	не содержит в	1	1
46	равно как и	1	1
47	это нисколько не	1	1
48	и все эти	2	1
49	в нем и	3	1
50	пространства и времени	1	1
51	и не в	1	1
52	другое дело когда	2	1
53	но все это	1	1
54	и в то	1	1
55	рядом с собой	1	1
56	не отличаются от	1	1
57	времени и пространства	1	1
58	для которого все	1	1
59	бы то ни	2	1
60	здесь дело не	1	1
61	ни в чем	4	1
62	ведь это не	1	1
63	но можно ли	1	1
64	и кажется что	1	1
65	причем все эти	1	1
66	и говорить о	1	1
67	в основе своей	1	1
68	на первом плане	2	1
69	они находятся в	1	1
70	и то что	1	1
71	ту или иную	1	1
72	не значит что	1	1
73	или в виде	1	1
74	то ни было	2	1
75	и как бы	1	1
76	до того что	1	1
77	а не просто	1	1
78	не в том	1	1
79	бы и не	2	1
80	которого все эти	1	1
81	это не значит	1	1
82	все эти моменты	1	1
83	вопрос о том	2	1
84	что и делает	1	1
85	том что мы	1	1
86	а только в	1	1
87	само по себе	1	1
88	не в смысле	1	1
89	не есть общее	1	1
90	в известном смысле	1	1
91	по себе а	1	1
92	не была бы	1	1
93	в свою очередь	1	1
94	при условии своей	1	1
95	и тем самым	1	1
96	но отнюдь не	1	1
97	не менее в	1	1
98	в настоящее время	1	1
99	на то что	1	1
100	здесь вовсе не	1	1
101	но и тут	1	1
102	имеют в виду	1	1
103	к тому что	1	1
104	конечно не в	1	1
105	отличаются от научных	1	1
106	не есть просто	1	1
