N	3gram	Propp_Isto_7	SlovoVZh
1	по отношению к	1	11
2	не может быть	3	7
3	как если бы	1	4
4	в том что	4	4
5	тем не менее	4	3
6	бы то ни	1	3
7	этой точки зрения	3	3
8	до сих пор	2	3
9	и не в	1	3
10	то ни было	1	3
11	это не так	1	2
12	с другой стороны	8	2
13	то же самое	1	2
14	с точки зрения	1	2
15	в зависимости от	1	2
16	но тем не	2	2
17	с этой стороны	3	2
18	в данном случае	3	2
19	с одной стороны	4	2
20	это один и	1	1
21	но все же	2	1
22	один и тот	1	1
23	они должны быть	1	1
24	имеем дело с	1	1
25	все же не	1	1
26	и др все	1	1
27	то время как	2	1
28	более или менее	1	1
29	одна и та	1	1
30	и она не	1	1
31	в самом деле	1	1
32	еще не вполне	1	1
33	нам кажется что	1	1
34	же как и	1	1
35	в нем и	1	1
36	в то время	2	1
37	но уже в	1	1
38	таким образом мы	2	1
39	но и в	2	1
40	и та же	1	1
41	от того в	1	1
42	о том что	5	1
43	но все это	1	1
44	только там где	1	1
45	может идти только	2	1
46	можно было бы	1	1
47	как мы уже	1	1
48	и здесь мы	2	1
49	мы имеем в	4	1
50	или может быть	1	1
51	говорит о том	1	1
52	сама по себе	1	1
53	на передний план	1	1
54	вопросу о том	1	1
55	так же как	4	1
56	не может получить	1	1
57	для нас не	1	1
58	она не может	1	1
59	как и в	2	1
60	сих пор мы	1	1
61	мы увидим что	2	1
62	и тот же	1	1
