1	в том что	10	19
2	с точки зрения	6	10
3	для того чтобы	1	8
4	к тому что	2	7
5	с самого начала	1	7
6	то же самое	1	6
7	так же как	2	6
8	в то время	4	6
9	то в чем	2	5
10	можно было бы	1	5
11	то время как	2	5
12	заключается в том	1	5
13	потому что он	1	4
14	не иначе как	1	4
15	как мы видели	3	4
16	на то что	2	4
17	до сих пор	1	3
18	мы знаем что	1	3
19	те же самые	1	3
20	в первую очередь	1	3
21	в этом отношении	2	3
22	то что он	1	2
23	не может существовать	1	2
24	в том смысле	1	2
25	в последнее время	1	2
26	в этом смысле	3	2
27	и то что	4	2
28	мы и в	1	2
29	эту точку зрения	1	2
30	в связи с	2	2
31	с другой стороны	2	2
32	оно не может	2	2
33	вместе с тем	6	2
34	в этом случае	1	2
35	не может быть	6	2
36	он мог бы	1	2
37	в этой области	1	2
38	независимо от того	2	2
39	представить себе что	1	2
40	с тем что	1	2
41	каждой из этих	1	2
42	начинается с того	1	2
43	в том же	1	2
44	только то что	1	2
45	не только не	1	2
46	но вместе с	1	1
47	ничего принципиально нового	1	1
48	с этой проблемой	1	1
49	в том числе	1	1
50	только в том	3	1
51	никогда не мог	1	1
52	то что в	3	1
53	не только в	1	1
54	содержит в себе	4	1
55	включает в себя	1	1
56	того времени когда	1	1
57	той или иной	1	1
58	самого начала своего	1	1
59	и в отношении	3	1
60	вопрос о том	1	1
61	в каждой из	1	1
62	является как раз	1	1
63	тем чем оно	1	1
64	именно то что	1	1
65	не может иметь	1	1
66	в отличие от	3	1
67	не что иное	1	1
68	невозможно было бы	1	1
69	не может не	1	1
70	что в своем	2	1
71	том как эта	1	1
72	свое учение о	1	1
73	но не просто	1	1
74	на первый план	2	1
75	и в этом	5	1
76	и можно было	1	1
77	том что в	3	1
78	ясно что в	1	1
79	самостоятельно но мы	1	1
80	к самому себе	1	1
81	могут привести к	1	1
82	как раз и	5	1
83	как то что	1	1
84	он никогда не	2	1
85	с этой точки	1	1
86	можно дать только	1	1
87	сам по себе	2	1
88	ничего общего с	2	1
89	раз и навсегда	1	1
90	что иное как	1	1
91	в котором он	1	1
92	потому что в	1	1
93	как мы знаем	2	1
94	внимание на то	1	1
95	на этот раз	1	1
96	не с точки	1	1
97	в каком отношении	1	1
98	в том и	1	1
99	точно так же	4	1
100	потому что они	1	1
101	тем не менее	9	1
102	самое большее что	1	1
103	с одной стороны	3	1
104	бы он ни	1	1
105	в данном случае	2	1
106	в самом деле	1	1
107	что и в	3	1
108	является то что	1	1
109	возможно только в	1	1
110	совершенно так же	2	1
111	так что в	1	1
112	не говорит о	2	1
113	или того что	1	1
114	мы не можем	1	1
115	и в своей	1	1
116	в конце концов	5	1
117	только к нему	1	1
118	надо сказать что	1	1
119	на вопрос что	1	1
120	не содержит в	1	1
121	этой точки зрения	1	1
122	но как раз	1	1
123	о том как	1	1
124	в настоящее время	3	1
125	тем обстоятельством что	1	1
126	но не с	1	1
127	то и другое	1	1
128	же как и	1	1
129	раз и начинается	1	1
130	и то в	1	1
131	их словесном выражении	1	1
