N	2gram	Medvedev_V_1	Formalny
1	и не	1	30
2	и в	2	27
3	и его	1	19
4	в этом	1	18
5	самом деле	1	16
6	то же	1	15
7	в самом	1	11
8	так как	1	9
9	только в	1	8
10	потому что	1	7
11	в том	2	7
12	для них	1	7
13	все это	1	7
14	все время	1	6
15	хотя бы	1	6
16	сводится к	1	5
17	том что	2	4
18	да и	1	4
19	в которых	1	3
20	столь же	1	3
21	время в	1	3
22	ясно что	1	3
23	в конце	2	3
24	в шкловским	1	3
25	в шкловский	2	3
26	главным образом	1	2
27	они на	1	2
28	дело в	1	2
29	в шкловского	5	2
30	так в	1	2
31	для формализма	1	2
32	и только	1	2
33	от других	1	2
34	но это	1	2
35	конце концов	2	2
36	к этому	1	2
37	и то	1	1
38	к созданию	1	1
39	бы уже	1	1
40	и сводится	1	1
41	а только	1	1
42	чем больше	1	1
43	то я	1	1
44	говорили в	1	1
45	по существу	1	1
46	одно и	1	1
47	значительной степени	1	1
48	в их	1	1
49	том же	1	1
50	и почти	1	1
51	а отсюда	1	1
52	момент то	1	1
53	совершенно ясно	1	1
54	все дело	1	1
55	способами ее	1	1
56	в значительной	1	1
57	сами формалисты	1	1
58	ведь это	1	1
59	даже не	1	1
60	именно в	1	1
61	и составляет	1	1
62	в частности	1	1
63	под влиянием	1	1
64	каждая новая	1	1
65	ни к	1	1
66	все то	1	1
