N	2gram	Losev_Prob_1	Morfolog
1	может быть	14	52
2	и т	11	49
3	т д	10	47
4	и пр	4	40
5	таким образом	6	20
6	не может	8	17
7	в этих	3	16
8	т е	1	16
9	могут быть	2	15
10	этих случаях	3	14
11	с этим	3	14
12	и в	32	13
13	действующих лиц	2	13
14	в этом	19	13
15	так как	11	12
16	перед нами	5	11
17	связи с	5	11
18	мы видим	2	11
19	то же	10	9
20	мы имеем	2	9
21	так и	12	9
22	этом случае	2	9
23	прежде всего	10	9
24	а не	15	9
25	в связи	4	9
26	и не	31	9
27	при помощи	13	8
28	с другой	3	8
29	по существу	2	8
30	в результате	2	8
31	вопрос о	1	7
32	в качестве	2	7
33	все же	1	7
34	но если	2	7
35	но не	9	6
36	может считаться	1	6
37	это не	6	6
38	во время	1	6
39	подобно тому	2	6
40	не могут	2	6
41	и здесь	6	6
42	а также	4	6
43	в том	9	6
44	а в	4	6
45	мы не	2	5
46	во всех	7	5
47	тому как	2	5
48	то что	42	5
49	далеко не	5	5
50	не менее	19	5
51	потому что	16	5
52	или в	4	5
53	один из	4	5
54	мы увидим	3	5
55	если мы	11	5
56	наряду с	1	5
57	как бы	14	5
58	также и	11	4
59	увидим ниже	2	4
60	показать что	1	4
61	эта функция	1	4
62	то это	1	4
63	что его	3	4
64	то мы	1	4
65	если в	1	4
66	как в	4	4
67	два раза	1	4
68	не хватает	2	4
69	хотя и	6	4
70	и как	6	4
71	ни одна	1	4
72	не только	17	4
73	на его	2	4
74	на этом	1	4
75	об этом	10	4
76	его в	6	4
77	было бы	8	4
78	вовсе не	35	4
79	как и	3	4
80	несмотря на	3	4
81	точки зрения	3	4
82	с точки	3	4
83	тем не	18	4
84	на котором	1	4
85	ничего не	10	4
86	тем что	7	4
87	очень часто	1	4
88	в других	5	4
89	как мы	7	4
90	видно что	1	4
91	случае не	3	4
92	в некоторых	1	4
93	другой стороны	3	4
94	так же	9	4
95	а если	1	4
96	что в	12	4
97	начинается с	1	3
98	самом деле	6	3
99	на самом	6	3
100	в первом	2	3
101	и для	4	3
102	заметим что	1	3
103	но в	14	3
104	в пределах	1	3
105	он должен	2	3
106	прежде чем	3	3
107	но все	3	3
108	а по	1	3
109	входит в	4	3
110	из них	3	3
111	ни в	7	3
112	сам он	1	3
113	том что	12	3
114	в то	6	3
115	в сущности	2	3
116	того чтобы	9	3
117	от того	1	3
118	и другим	2	3
119	не выходить	1	3
120	большей частью	2	3
121	с собой	2	3
122	если бы	4	3
123	очень многое	1	3
124	но и	9	3
125	он не	3	3
126	во втором	1	3
127	значит что	3	3
128	к нему	3	3
129	очень многих	1	3
130	и ее	8	3
131	в начале	1	3
132	а то	1	3
133	друг друга	1	3
134	мы можем	4	3
135	не является	5	3
136	что они	3	3
137	из членов	1	3
138	для этой	1	3
139	этого момента	1	3
140	из которых	1	3
141	последнем случае	1	3
142	но это	8	3
143	кроме того	2	3
144	иное чем	1	3
145	мы должны	5	3
146	только что	2	3
147	же в	4	3
148	если же	1	3
149	смысле слова	7	2
150	как это	6	2
