N	2gram	Medvedev_S_1	OGranits
1	и в	3	13
2	и его	1	12
3	прежде всего	1	9
4	может быть	2	8
5	не может	1	8
6	и не	1	8
7	в его	3	7
8	только в	2	6
9	как бы	2	6
10	не только	3	6
11	то что	2	6
12	мы должны	1	6
13	таким образом	2	6
14	все же	1	5
15	и наконец	1	5
16	но ведь	3	5
17	в процессе	1	5
18	хотя бы	1	5
19	мы не	1	4
20	еще и	1	4
21	то же	2	4
22	в своей	1	4
23	было бы	2	4
24	все это	7	4
25	в каждом	1	4
26	вряд ли	1	3
27	так и	1	3
28	по отношению	2	3
29	за пределы	2	3
30	но и	2	3
31	как и	1	3
32	не в	3	3
33	никогда не	1	3
34	отношению к	2	3
35	что в	2	3
36	ни одно	1	2
37	художественных произведений	1	2
38	те же	1	2
39	и должно	1	2
40	в чем	1	2
41	мы понимаем	1	2
42	между тем	1	2
43	наконец в	1	2
44	в данном	1	2
45	в этом	5	2
46	в том	5	2
47	в целом	1	2
48	формальный метод	1	2
49	все эти	1	2
50	с одной	1	2
51	социологический метод	4	2
52	вовсе не	1	2
53	тем что	1	2
54	в них	1	2
55	но одно	1	2
56	в области	1	2
57	с другой	1	2
58	одной стороны	1	2
59	между собою	1	2
60	в связи	1	2
61	том что	2	2
62	с помощью	1	2
63	и научно	1	2
64	поэтики и	1	2
65	бы в	1	2
66	истории литературы	10	2
67	а в	1	2
68	науки о	1	1
69	это и	2	1
70	и есть	1	1
71	стр и	1	1
72	и п.н	1	1
73	и о	1	1
74	для этого	1	1
75	по себе	1	1
76	выходит за	1	1
77	как то	1	1
78	в мире	1	1
79	и что	2	1
80	еще не	2	1
81	столь же	1	1
82	время в	1	1
83	в конечном	1	1
84	жизни он	1	1
85	но не	1	1
86	и остаются	1	1
87	в свои	1	1
88	один из	1	1
89	и как	1	1
90	всего не	1	1
91	стиль в	1	1
92	метод в	4	1
93	история литературы	1	1
94	что он	1	1
95	не должна	1	1
96	чуть ли	1	1
97	в литературоведении	2	1
98	в этой	1	1
99	конечно не	1	1
100	что она	1	1
101	не из	1	1
102	или даже	2	1
103	конечном счете	1	1
104	в виде	1	1
105	в конце	2	1
106	что без	1	1
107	же не	1	1
108	понимаем всю	1	1
109	на все	1	1
110	его в	1	1
111	к которому	2	1
112	как же	3	1
113	произведение как	1	1
114	не было	1	1
115	далеко не	2	1
116	переходим к	1	1
117	отнюдь не	1	1
118	одно дело	2	1
119	вступает в	1	1
120	этом нужно	1	1
121	свои права	1	1
122	он говорит	1	1
123	должно было	1	1
124	правда он	1	1
125	и более	1	1
126	быть не	1	1
127	только то	1	1
128	тому что	1	1
129	литературы как	1	1
130	в то	1	1
131	мысли в	1	1
132	объекта и	1	1
133	же время	1	1
134	тем более	2	1
135	связи с	1	1
136	поэтической формы	1	1
137	у п.н	2	1
138	исторической поэтики	1	1
139	все то	1	1
140	о литературе	3	1
141	когда мы	1	1
142	ли не	1	1
143	же самое	1	1
144	этого и	1	1
145	они не	1	1
