N	3gram	Berdyaev_V_1	Tragedij
1	так и в	1	3
2	и не случайно	1	2
3	не в силах	2	2
4	но все же	1	2
5	в том что	2	2
6	а между тем	2	1
7	в этом мире	1	1
8	и теперь еще	1	1
9	к людям в	1	1
10	том что он	2	1
11	хотя бы и	1	1
12	и должна быть	1	1
13	и в образе	1	1
14	все это мы	1	1
15	за то что	3	1
16	в конце концов	1	1
17	в xx веке	1	1
18	и в этом	1	1
19	по сравнению с	1	1
20	не могут быть	1	1
21	с такой силой	1	1
22	бы и не	2	1
23	что я не	1	1
24	вместо того чтобы	2	1
25	и вместе с	1	1
26	после того как	1	1
27	к тому что	3	1
28	как и в	1	1
29	к личности и	1	1
