N	3gram	Tiupa_Lite_2	formyVre
1	и т п	2	11
2	с точки зрения	3	8
3	для того чтобы	1	7
4	в то же	9	4
5	то же время	9	4
6	в том числе	2	3
7	и в то	1	3
8	и прежде всего	1	3
9	во всех этих	1	3
10	в том что	5	3
11	прежде всего в	1	2
12	в этом случае	2	2
13	в этом отношении	3	2
14	то что было	1	2
15	то же самое	1	2
16	том числе и	1	2
17	о том что	2	1
18	и в сущности	1	1
19	и сила и	1	1
20	себя и других	1	1
21	в одном из	1	1
22	по земле в	1	1
23	с одной стороны	6	1
24	мира и жизни	1	1
25	из того же	1	1
26	с другой стороны	4	1
27	в себя и	1	1
28	того что было	1	1
29	как у людей	1	1
30	особое место в	1	1
31	к тому что	1	1
32	что он не	1	1
33	и наконец в	1	1
34	как мы видели	1	1
35	этой точки зрения	1	1
36	на самом деле	1	1
37	вовсе не является	1	1
38	это свидетельствует о	1	1
39	а так как	1	1
40	себя в них	1	1
41	той или иной	1	1
42	не может быть	7	1
43	вместе с тем	1	1
44	в конце концов	1	1
45	в данном случае	3	1
46	в частности в	1	1
47	с этой точки	1	1
48	в отличие от	1	1
49	и то же	2	1
50	то есть в	1	1
51	в свою очередь	1	1
52	а за ними	1	1
53	одно и то	2	1
