N	2gram	Kanaev_Sov_1	Marksizm
1	точки зрения	12	34
2	может быть	12	26
3	и не	6	26
4	не может	17	24
5	с точки	5	20
6	и в	7	19
7	и его	1	19
8	таким образом	11	17
9	в этом	7	16
10	как бы	4	15
11	в процессе	1	14
12	как мы	2	13
13	прежде всего	5	13
14	как и	6	12
15	и пр	2	12
16	если мы	4	11
17	связи с	1	11
18	и для	1	11
19	самом деле	2	10
20	в нем	3	10
21	ни было	1	10
22	и т.п	1	10
23	в самом	2	10
24	только в	1	9
25	в результате	6	9
26	бы то	1	8
27	все же	3	8
28	не только	4	8
29	при этом	3	8
30	то ни	2	8
31	до сих	1	8
32	сих пор	1	8
33	во всех	1	7
34	точка зрения	1	7
35	но в	3	7
36	все эти	5	7
37	и те	1	7
38	то же	3	7
39	в каждом	8	7
40	а не	3	7
41	в связи	1	7
42	так же	1	7
43	отнюдь не	3	6
44	кроме того	1	6
45	так сказать	2	6
46	мы не	9	6
47	в науке	2	6
48	ничего не	6	6
49	настоящее время	2	6
50	в его	2	6
51	в том	4	6
52	с помощью	4	6
53	в настоящее	2	6
54	того же	1	6
55	отличие от	2	5
56	конечно не	1	5
57	по преимуществу	1	5
58	может стать	1	5
59	рядом с	1	5
60	в отличие	2	5
61	не в	3	5
62	ничего общего	1	5
63	те же	1	5
64	и все	3	5
65	этот вопрос	1	5
66	ясно что	3	5
67	одни и	1	5
68	в начале	1	5
69	в конце	3	5
70	вовсе не	1	5
71	с другой	1	5
72	именно в	1	5
73	мы знаем	2	5
74	и потому	3	5
75	к этому	1	5
76	во всяком	2	5
77	оно может	1	4
78	вопрос о	4	4
79	нет и	4	4
80	чем же	1	4
81	не будем	2	4
82	и тот	1	4
83	к одному	1	4
84	не будет	1	4
85	было бы	3	4
86	не менее	2	4
87	по себе	1	4
88	самого начала	3	4
89	не является	1	4
90	в ней	1	4
91	с самого	3	4
92	еще не	3	4
93	только на	1	4
94	с этим	2	4
95	в данном	1	4
96	что же	5	4
97	дело идет	1	4
98	в условиях	5	4
99	тот же	2	4
100	а в	4	4
101	жизни в	1	4
102	между ними	1	4
103	и эта	1	4
104	сказать что	1	4
105	что в	2	4
106	на самом	1	3
107	он может	3	3
108	и есть	2	3
109	между двумя	1	3
110	не имеют	1	3
111	теперь мы	1	3
112	в большинстве	1	3
113	по отношению	1	3
114	один и	1	3
115	и к	3	3
116	в первом	3	3
117	в которой	2	3
118	к другому	1	3
119	этот процесс	1	3
120	в корне	1	3
121	но все	2	3
122	его в	1	3
123	он не	1	3
124	том что	1	3
125	в то	1	3
126	для каждого	1	3
127	не имеет	1	3
128	на язык	1	3
129	же время	1	3
130	в области	3	3
131	не могут	2	3
132	же самое	2	3
133	и это	1	3
134	в дальнейшем	4	3
135	одного из	1	3
136	здесь в	1	3
137	и следовательно	1	3
138	быть и	2	3
139	одной из	1	3
140	в какой	1	3
141	и действительно	1	3
142	правда и	1	3
143	не дает	2	3
144	из них	4	3
145	или иной	2	3
146	не было	1	3
147	на этот	2	3
148	все это	3	3
149	xix века	1	3
150	этом случае	1	3
151	и от	1	3
152	она может	2	3
153	и при	1	3
154	совершенно не	2	3
155	мы должны	4	3
156	это и	1	3
157	же как	1	2
158	в объяснении	1	2
159	мы уже	1	2
160	той же	2	2
161	не приходится	1	2
162	для нашей	1	2
163	зависимости от	4	2
164	свою очередь	2	2
165	именно эти	1	2
166	быть в	1	2
167	два основных	1	2
168	явлений и	1	2
169	и речи	1	2
170	конечно совершенно	1	2
171	в своем	1	2
172	в действительности	1	2
173	в нашем	2	2
174	из этих	2	2
175	в себе	3	2
176	различна степень	1	2
177	как он	3	2
178	тем не	2	2
179	одной и	1	2
180	реальный момент	2	2
181	можно было	1	2
182	человека в	1	2
183	что все	2	2
184	в другом	1	2
185	конечно в	2	2
186	на этой	3	2
187	в данной	1	2
188	этом смысле	1	2
189	ведь в	1	2
190	в новое	1	2
191	ни в	1	2
192	для них	1	2
193	жизни но	1	2
194	должно быть	1	2
195	это делает	1	2
196	и той	1	2
197	точку зрения	4	2
198	времени не	1	2
199	и более	1	2
200	зрения и	1	2
201	мысли в	1	2
202	что такое	2	2
203	одна из	3	2
204	у нас	3	2
205	ни о	1	2
206	могут быть	2	2
207	она не	1	2
208	диалектического материализма	1	2
209	с ее	1	2
210	и та	1	2
211	системе в	1	2
212	никогда не	1	2
213	по аналогии	1	2
214	между собой	3	2
215	если бы	1	2
216	и вообще	1	2
217	и даже	2	2
218	и т.д	3	2
219	о том	1	2
220	внешнего опыта	1	2
221	и во	2	2
222	во втором	1	2
223	отвлекаясь от	1	2
224	и только	1	2
225	и другую	1	2
226	организма с	5	2
227	же они	1	2
228	и их	1	2
229	всяком случае	2	2
230	допустим что	1	2
231	так как	4	2
232	мы можем	6	2
233	и прежде	1	2
234	там где	1	2
235	независимо от	1	2
236	из которых	2	2
237	ведь ясно	1	2
238	организма в	1	2
239	благодаря этому	1	2
240	самый вопрос	2	2
241	но для	1	2
242	или в	1	2
243	этой системы	1	2
244	в свою	2	2
245	но если	1	2
246	совершенно независимо	1	2
247	не знает	1	2
248	они все	1	2
