N	2gram	Nazirov_Tr_1	ViktorSh
1	в книге	1	3
2	конце концов	1	2
3	в том	2	2
4	и в	18	2
5	в конце	3	2
6	том что	4	2
7	как же	2	1
8	только в	1	1
9	и не	7	1
10	в другом	1	1
11	то же	5	1
12	все время	1	1
13	и его	6	1
14	в этом	9	1
15	столь же	2	1
16	именно в	1	1
17	и то	2	1
18	в частности	2	1
19	по поводу	2	1
20	потому что	2	1
21	не хочу	1	1
22	хотя бы	1	1
23	в самом	2	1
24	и т.д	1	1
25	даже не	1	1
26	все это	4	1
27	но это	4	1
28	более чем	1	1
29	существенной роли	1	1
30	самом деле	1	1
31	под влиянием	2	1
32	я не	4	1
