N	2gram	Tiupa_Narr_1	Sotsiolo
1	все это	1	7
2	в том	8	5
3	в этом	12	5
4	и только	2	3
5	для нас	1	3
6	не только	31	3
7	и в	11	3
8	но ведь	1	3
9	не в	6	3
10	в его	6	3
11	но и	27	2
12	и мы	1	2
13	исторической жизни	1	2
14	она может	2	2
15	только в	12	2
16	дело не	2	2
17	далеко не	1	2
18	в результате	2	2
19	тем более	1	2
20	том что	7	2
21	в частности	14	2
22	как будто	3	2
23	то что	9	2
24	главным образом	1	2
25	или даже	1	2
26	еще не	4	2
27	таким образом	1	2
28	это и	1	2
29	им не	1	2
30	отношению к	3	2
31	в конце	2	2
32	что в	3	2
33	может быть	15	2
34	как бы	6	2
35	по отношению	3	2
36	то же	8	2
37	не из	1	1
38	друг от	1	1
39	крайней мере	1	1
40	опираясь на	1	1
41	быть не	3	1
42	наконец в	1	1
43	по себе	4	1
44	даже в	1	1
45	в мире	4	1
46	сказать и	1	1
47	в этой	6	1
48	тому что	1	1
49	отнюдь не	2	1
50	более не	2	1
51	даже не	1	1
52	возможность именно	1	1
53	с другой	2	1
54	его в	1	1
55	с ним	2	1
56	это не	3	1
57	на этот	1	1
58	именно в	3	1
59	в чем	2	1
60	том именно	1	1
61	все же	4	1
62	один из	6	1
63	и есть	1	1
64	перед нами	5	1
65	в то	4	1
66	хотелось бы	1	1
67	тем же	2	1
68	и наконец	1	1
69	еще и	1	1
70	только то	1	1
71	а с	1	1
72	том как	1	1
73	тем что	1	1
74	и как	3	1
75	настаивает на	1	1
76	что он	3	1
77	прежде всего	4	1
78	произведение как	1	1
79	так и	5	1
80	не было	3	1
81	одной стороны	1	1
82	и не	23	1
83	это вовсе	1	1
84	полагает что	1	1
85	искусство слова	1	1
86	никогда не	4	1
87	на основании	1	1
88	зависит от	2	1
89	их друг	1	1
90	мы не	3	1
91	со своими	1	1
92	же время	4	1
93	ничего не	2	1
94	мы еще	1	1
95	и о	3	1
96	сколь и	1	1
97	как и	13	1
98	между собой	2	1
99	с помощью	1	1
100	для этого	1	1
101	этом не	1	1
102	иначе говоря	8	1
103	что автор	1	1
104	в сущности	2	1
105	в связи	2	1
106	невозможно ни	1	1
107	и его	10	1
108	в этих	2	1
109	связи с	2	1
110	от друга	1	1
111	или не	4	1
112	хотя бы	2	1
113	в целом	3	1
114	стало быть	3	1
115	не может	8	1
116	в своей	5	1
117	строгом значении	1	1
118	а в	13	1
119	что она	1	1
120	о том	4	1
121	в области	2	1
122	и потому	1	1
123	представить себе	1	1
124	в него	1	1
125	но именно	3	1
126	в котором	1	1
127	никак не	2	1
128	в строгом	1	1
129	между ними	2	1
130	и благодаря	1	1
131	творчества это	1	1
132	столь же	5	1
133	всяком случае	2	1
134	в силу	1	1
135	в конечном	3	1
136	что это	1	1
137	новое и	1	1
138	ли не	2	1
139	же самое	2	1
140	с одной	1	1
141	может служить	3	1
142	но не	4	1
143	у него	7	1
144	в данном	11	1
145	между тем	3	1
146	но как	3	1
147	базируются на	1	1
148	и по	1	1
149	только когда	1	1
150	что на	4	1
151	это происходит	1	1
152	конечном счете	1	1
153	по крайней	1	1
154	не один	1	1
155	во всяком	2	1
156	они не	1	1
