N	2gram	Bakhtin_KF_1	PoTuStor
1	может быть	45	17
2	и в	24	16
3	и пр	3	12
4	в этом	14	9
5	и только	6	9
6	мы можем	1	9
7	прежде всего	2	9
8	и с	1	8
9	точки зрения	12	8
10	и его	17	8
11	не может	27	8
12	совершенно не	6	8
13	с его	1	7
14	не только	5	7
15	я и	2	6
16	самом деле	3	6
17	конечно не	7	6
18	при этом	4	6
19	с точки	9	6
20	и это	12	6
21	для него	8	6
22	и к	1	6
23	еще не	4	5
24	в чем	4	5
25	отношение к	5	5
26	все эти	10	5
27	только для	1	5
28	ни в	12	5
29	нуждается в	1	5
30	в него	2	5
31	как бы	9	5
32	на самом	3	4
33	и ее	2	4
34	и на	3	4
35	отнюдь не	6	4
36	и наконец	1	4
37	но в	5	4
38	в этой	2	4
39	в нем	28	4
40	и может	3	4
41	его в	5	4
42	в один	1	4
43	художественного творчества	1	4
44	мысли и	1	4
45	все это	10	4
46	с ее	2	4
47	так и	2	4
48	но мы	1	4
49	можно сказать	1	4
50	в его	40	4
51	с ними	3	4
52	только в	16	4
53	и их	6	4
54	так как	1	4
55	и даже	1	4
56	но и	9	4
57	и не	26	4
58	и все	7	4
59	хотя бы	4	4
60	все что	1	4
61	отношения к	1	3
62	едва ли	2	3
63	во всех	11	3
64	и есть	9	3
65	возврат в	1	3
66	и как	2	3
67	и теперь	1	3
68	их в	1	3
69	на этом	1	3
70	этом смысле	3	3
71	том что	4	3
72	в одном	4	3
73	в основе	5	3
74	чем не	4	3
75	к себе	2	3
76	мира и	4	3
77	на язык	3	3
78	в конечном	1	3
79	и она	2	3
80	в том	6	3
81	в большинстве	1	3
82	только на	1	3
83	большинстве случаев	1	3
84	всяком случае	1	3
85	в области	2	3
86	и др	1	3
87	пр и	1	3
88	но оно	1	3
89	вместе с	1	3
90	и потому	2	3
91	как это	1	3
92	ко всякому	1	3
93	могут быть	3	3
94	вся культура	1	3
95	что в	4	3
96	в этих	1	3
97	а в	4	3
98	то что	7	3
99	между ними	1	3
100	только как	4	3
101	жизни и	8	3
102	во всяком	1	3
103	ту же	1	2
104	в самом	1	2
105	и этот	3	2
106	мы уже	1	2
107	мы не	3	2
108	и о	1	2
109	говорить о	2	2
110	того же	1	2
111	и говорить	1	2
112	совсем не	2	2
