N	2gram	Tiupa_Teor_1	Narrotol
1	не только	16	31
2	но и	9	27
3	и не	13	23
4	при этом	12	19
5	может быть	17	15
6	в качестве	24	14
7	в частности	16	14
8	как и	4	13
9	в тексте	14	13
10	а не	9	13
11	а в	13	13
12	в этом	8	12
13	только в	6	12
14	и в	18	11
15	в данном	8	11
16	тогда как	15	10
17	состоит в	17	10
18	своего рода	7	10
19	и его	8	10
20	такого рода	8	10
21	с собачкой	1	9
22	то есть	12	9
23	времени и	2	9
24	во времени	3	9
25	то что	3	9
26	то же	7	8
27	представляет собой	9	8
28	иначе говоря	4	8
29	не может	4	8
30	данном случае	5	8
31	в том	16	8
32	уже не	4	8
33	со стороны	2	8
34	и т.п	4	8
35	в рассказе	2	8
36	но в	9	7
37	том что	9	7
38	если бы	3	7
39	у него	1	7
40	в самом	4	6
41	не в	7	6
42	в этой	3	6
43	в себе	9	6
44	об этом	2	6
45	к тому	2	6
46	и т.д	3	6
47	одного из	1	6
48	во втором	3	6
49	в его	6	6
50	как бы	5	6
51	один из	2	6
52	как раз	2	6
53	или в	3	6
54	а также	6	6
55	между двумя	3	5
56	и на	1	5
57	той или	1	5
58	как правило	4	5
59	перед нами	2	5
60	так и	10	5
61	точки зрения	9	5
62	в своей	6	5
63	тем самым	4	5
64	потому что	3	5
65	можно сказать	3	5
66	действующих лиц	1	5
67	в соответствии	3	5
68	столь же	2	5
69	то в	2	4
70	в первом	2	4
71	на себя	2	4
72	еще не	4	4
73	с его	5	4
74	но не	9	4
75	как в	5	4
76	хотя и	3	4
77	из этих	3	4
78	в нем	4	4
79	в принципе	4	4
80	в мире	19	4
81	из них	1	4
82	по себе	1	4
83	и тем	3	4
84	соответствии с	2	4
85	в одном	2	4
86	в то	6	4
87	в эпизоде	3	4
88	не по	1	4
89	того чтобы	1	4
90	никогда не	4	4
91	так в	4	4
92	о том	1	4
93	же время	5	4
94	к нему	1	4
95	в литературе	2	4
96	того что	4	4
