N	2gram	Vinokur_St_1	Russkaja
1	не может	8	22
2	и не	16	19
3	в том	36	17
4	в этом	21	17
5	и в	44	14
6	то что	18	13
7	то же	5	11
8	точки зрения	11	11
9	таким образом	7	11
10	в то	9	10
11	же время	4	10
12	но и	10	10
13	в себе	2	9
14	не только	18	9
15	том что	29	9
16	с точки	8	9
17	может быть	15	9
18	во всяком	6	9
19	того чтобы	11	8
20	прежде всего	7	8
21	как на	1	8
22	самом деле	11	7
23	и с	3	7
24	в данном	14	7
25	к тому	1	7
26	россии в	1	7
27	стремление к	3	7
28	о том	17	7
29	если в	2	6
30	в своем	2	6
31	и к	1	6
32	в россии	4	6
33	с тем	1	6
34	в своих	2	6
35	и при	1	6
36	если бы	9	6
37	все это	5	6
38	и для	3	6
39	для того	10	6
40	что он	10	6
41	всяком случае	6	6
42	для него	6	6
43	на самом	6	6
44	а между	1	5
45	вопрос о	4	5
46	и на	1	5
47	между собой	1	5
48	во всех	8	5
49	на то	4	5
50	в нем	5	5
51	при этом	2	5
52	он не	2	5
53	он должен	2	5
54	было бы	17	5
55	в своей	6	5
56	никогда не	5	5
57	потому что	6	5
58	лишь при	1	5
59	между тем	3	5
60	а потому	2	5
61	и только	3	5
62	только в	10	5
63	хотя бы	6	5
64	конечно не	2	5
65	или иной	1	5
66	до сих	7	5
67	из которых	1	5
68	по существу	2	5
69	сих пор	7	5
70	а в	17	5
71	и то	5	4
72	смотреть на	1	4
73	бы то	1	4
74	но не	3	4
75	себя в	1	4
76	все же	8	4
77	не в	12	4
78	в этой	11	4
79	в корне	1	4
80	то ни	1	4
81	том случае	1	4
82	его в	2	4
83	как и	9	4
84	которой он	1	4
85	точку зрения	3	4
86	тогда когда	1	4
87	от того	1	4
88	не могут	1	4
89	можно было	13	4
90	в его	9	4
91	так как	5	4
92	со стороны	6	4
93	вместе с	1	4
94	все таки	1	4
95	что же	6	4
96	как бы	4	4
97	к вопросу	1	4
98	отказаться от	1	4
99	жизни и	5	4
100	что в	30	4
101	вряд ли	5	3
102	и т	30	3
103	то в	3	3
104	и этот	1	3
105	так чтобы	1	3
106	говорить о	2	3
107	еще не	3	3
108	из этих	6	3
109	что они	7	3
110	во что	1	3
111	в самом	7	3
112	что это	4	3
113	на том	1	3
114	и по	5	3
115	в другом	3	3
116	лишь в	3	3
117	для них	1	3
118	о которых	1	3
119	несмотря на	2	3
120	всех этих	2	3
121	но если	4	3
122	и сейчас	4	3
123	том чтобы	1	3
124	можно ли	4	3
125	одна из	1	3
126	в сознании	2	3
127	то это	3	3
128	что оно	3	3
129	той или	1	3
130	что все	2	3
131	данном случае	6	3
132	ни стало	1	3
133	для этого	2	3
134	может не	2	3
135	при котором	1	3
136	и во	2	3
137	что и	6	3
138	что бы	1	3
139	в лучшем	1	3
140	того что	9	3
141	одной из	1	3
142	в качестве	4	3
143	в виде	3	3
144	из них	8	3
145	в конце	3	3
146	тем что	5	3
147	именно в	6	3
148	что для	3	3
149	не было	4	3
150	и потому	2	3
151	да и	3	3
152	культуры в	3	3
153	этом случае	2	3
154	при условии	1	3
