N	3gram	Savitsky_E_1	Analitik
1	в том что	6	6
2	в данном случае	2	5
3	с одной стороны	8	4
4	и в этом	4	4
5	к тому же	1	4
6	в этом отношении	3	3
7	того или иного	4	3
8	той или иной	4	3
9	в этом смысле	3	2
10	в соответствии с	1	2
11	с точки зрения	16	2
12	в то же	15	2
13	можно было бы	3	2
14	то есть в	1	2
15	в значительной степени	1	2
16	не только в	4	2
17	в отличие от	1	2
18	с другой стороны	2	2
19	в частности в	2	2
20	то же время	14	2
21	и тем самым	1	2
22	следует оговориться что	1	2
23	на то что	2	2
24	тех или иных	1	2
25	можно сказать что	3	1
26	сказать что в	2	1
27	в тех случаях	1	1
28	учитывая то что	1	1
29	между прочим и	2	1
30	более или менее	1	1
31	в общем строе	3	1
32	то что с	1	1
33	а тем более	2	1
34	ли он в	1	1
35	хотя бы и	3	1
36	не имеет никаких	1	1
37	но и в	1	1
38	во всех этих	1	1
39	к тому или	1	1
40	с другой и	1	1
41	несмотря на его	1	1
42	на этот вопрос	1	1
43	в противном случае	1	1
44	несмотря на то	1	1
45	с этой точки	5	1
46	то и другое	1	1
47	в полной мере	1	1
48	в применении к	3	1
49	мы видим как	1	1
50	как это случается	1	1
51	они относятся к	1	1
52	тому или иному	2	1
53	на этот раз	1	1
54	и тот же	1	1
55	в известном смысле	3	1
56	в свою очередь	2	1
57	то его можно	1	1
58	в связи с	1	1
59	прежде всего в	2	1
60	не может остаться	1	1
61	этой точки зрения	5	1
62	имеет место в	2	1
63	всех этих случаях	1	1
64	не может быть	2	1
65	отнюдь не исключает	1	1
66	том смысле что	1	1
67	заключается в том	2	1
68	но и для	1	1
69	речь идет о	1	1
70	во второй половине	2	1
71	тех случаях когда	1	1
72	в том смысле	1	1
73	к тому что	1	1
74	в отношении к	12	1
75	друг с другом	3	1
76	в себе не	1	1
