N	3gram	Berdyaev_N_1	Myshleni
1	в том что	1	11
2	так же как	2	7
3	в известном смысле	1	7
4	подобно тому как	3	4
5	то время как	1	4
6	в своем развитии	1	4
7	в то время	1	4
8	о том что	1	4
9	это значит что	1	4
10	и того же	1	3
11	такой же мере	1	3
12	тому как в	1	3
13	до сих пор	1	3
14	можно было бы	1	3
15	с одной стороны	2	3
16	в такой же	1	3
17	не может быть	4	3
18	одного и того	1	3
19	вопрос о том	2	3
20	и не может	1	2
21	что он может	1	2
22	в зависимости от	1	2
23	в отличие от	1	2
24	не знает что	1	2
25	вместе с тем	2	2
26	в высшей степени	6	2
27	то что он	1	2
28	с другой стороны	2	2
29	мы говорим о	1	2
30	по своему строению	1	1
31	по своей природе	1	1
32	что в этом	1	1
33	в ней нет	1	1
34	в этом смысле	2	1
35	в том числе	1	1
36	же как и	1	1
37	не менее чем	1	1
38	переход к новому	1	1
39	том числе и	1	1
40	совершенно так же	1	1
41	нет у него	1	1
42	бы сказать что	1	1
43	к жизни и	1	1
44	вообще не существует	1	1
45	и на их	1	1
46	и потому что	1	1
47	не могут быть	1	1
48	во всяком случае	1	1
49	я не могу	1	1
50	что совершается в	1	1
51	в том чтобы	1	1
52	и вместе с	1	1
53	не только потому	1	1
54	своей природе и	1	1
55	то это есть	1	1
56	того же процесса	1	1
57	в том смысле	1	1
58	к вопросу о	1	1
