N	2gram	Berdyaev_O_1	StatiiOP
1	и в	19	44
2	в том	5	36
3	что в	4	30
4	том что	2	29
5	в этом	12	21
6	вовсе не	1	19
7	не только	11	18
8	то что	5	18
9	было бы	3	17
10	о том	3	17
11	а в	5	17
12	а не	11	16
13	и не	13	16
14	может быть	11	15
15	т е	4	15
16	как в	1	13
17	можно было	1	13
18	не в	11	12
19	самом деле	1	11
20	в этой	5	11
21	того чтобы	4	11
22	у нас	1	11
23	но в	2	10
24	для того	3	10
25	что он	3	10
26	но и	13	10
27	также и	1	9
28	как и	6	9
29	в отношении	1	9
30	так и	2	9
31	если бы	1	9
32	того что	3	9
33	в его	7	9
34	о пушкине	1	9
35	например в	1	8
36	все же	2	8
37	это не	3	8
38	из них	1	8
39	и его	4	8
40	не может	4	8
41	что они	2	7
42	в самом	5	7
43	этом отношении	1	7
44	прежде всего	9	7
45	сказать что	2	7
46	на самом	1	6
47	со стороны	1	6
48	в своей	2	6
49	потому что	9	6
50	что и	2	6
51	всяком случае	1	6
52	так что	2	6
53	для него	5	6
54	дело в	1	6
55	что же	2	6
56	но это	1	6
57	хотя бы	3	6
58	во всяком	1	6
59	и то	2	5
60	все эти	4	5
61	в нем	10	5
62	в котором	1	5
63	никогда не	9	5
64	могут быть	3	5
65	так как	2	5
66	тем что	2	5
67	и даже	1	5
68	все это	6	5
69	была бы	1	5
70	совершенно не	1	5
71	жизни и	1	5
72	как это	1	4
73	в которой	2	4
74	вопрос о	10	4
75	в новом	1	4
76	бы и	1	4
77	что это	1	4
78	на то	1	4
79	что она	1	4
80	и почему	1	4
81	в россии	5	4
82	том как	1	4
83	и очень	2	4
84	можно ли	2	4
85	не имеет	2	4
86	как будто	1	4
87	в ее	2	4
88	что у	2	4
89	и что	1	4
90	заключается в	1	4
91	же и	1	4
92	никто не	3	4
93	не было	9	4
94	в частности	1	4
95	как бы	3	4
96	еще более	1	4
97	и без	1	3
98	тем же	1	3
99	должна быть	1	3
100	в ней	1	3
101	еще не	3	3
102	он был	8	3
103	но не	1	3
104	не все	2	3
105	и я	1	3
106	в истории	2	3
107	как к	2	3
108	то в	1	3
109	же это	2	3
110	в каждом	1	3
111	в другом	2	3
112	и с	2	3
113	лишь в	7	3
114	кажется что	1	3
115	чем в	2	3
116	о которой	2	3
117	что не	4	3
118	в конце	1	3
119	не по	1	3
120	его жизни	1	3
121	которых в	1	3
122	нужно искать	5	3
123	в уста	2	3
124	ни с	7	3
125	а именно	1	3
126	а с	1	3
127	что для	2	3
128	говорит о	1	3
129	на этот	1	3
130	да и	1	3
131	видно что	1	3
132	и для	2	3
133	не существует	1	3
134	будто бы	1	3
135	отношения к	1	2
136	дело что	1	2
137	не хочет	1	2
138	мы не	1	2
139	в сущности	1	2
140	иных случаях	1	2
141	совсем не	2	2
142	отношение к	5	2
143	иногда и	1	2
144	что как	1	2
145	в своем	2	2
146	что нет	1	2
147	смысле этого	1	2
148	от этого	1	2
149	думать что	1	2
150	в себе	3	2
151	но он	7	2
152	искать не	2	2
153	он не	7	2
154	опять-таки не	1	2
155	он должен	1	2
156	чем у	1	2
157	и более	1	2
158	я бы	1	2
159	что все	2	2
160	его в	2	2
161	в свой	1	2
162	должен был	2	2
163	нисколько не	1	2
164	места в	1	2
165	да ведь	1	2
166	а иногда	1	2
167	она не	1	2
168	было не	1	2
169	ничего не	2	2
170	богатого и	1	2
171	в сознании	1	2
172	начиная с	1	2
173	кем и	1	2
174	и это	1	2
175	свои силы	1	2
176	и сам	1	2
177	которая была	1	2
178	в эпоху	1	2
179	другом месте	1	2
180	и все	10	2
