N	3gram	Tiupa_Vved_1	VLabPisa
1	в этом отношении	4	13
2	с другой стороны	1	8
3	не может быть	3	8
4	по отношению к	7	7
5	более или менее	2	6
6	в зависимости от	1	5
7	то же время	3	5
8	в конечном счете	1	5
9	в то же	4	5
10	не было бы	1	4
11	в связи с	1	4
12	можно сказать что	1	4
13	в том что	3	4
14	о том как	1	3
15	и в то	1	3
16	бы и не	2	3
17	большей или меньшей	1	3
18	о том что	4	3
19	которая не может	2	2
20	одной стороны и	1	2
21	подобно тому как	2	2
22	в том числе	1	2
23	как об этом	1	2
24	можно было бы	2	2
25	по крайней мере	1	2
26	в том чтобы	2	2
27	с одной стороны	5	2
28	в результате чего	1	2
29	из них не	1	2
30	во всяком случае	1	2
31	в этом и	1	2
32	в частности в	2	2
33	том числе и	1	2
34	во всех его	1	2
35	если бы он	1	1
36	не следует смешивать	1	1
37	хотя и не	1	1
38	в той или	1	1
39	другой стороны в	1	1
40	это то что	1	1
41	можно свести к	1	1
42	может быть сведена	1	1
43	в этом смысле	1	1
44	в соответствии с	6	1
45	в том же	1	1
46	войны и мира	3	1
47	следует смешивать с	1	1
48	в частности из	1	1
49	в таком случае	1	1
50	сами по себе	1	1
51	к ее разрешению	1	1
52	но и в	2	1
53	в силу его	1	1
54	по аналогии с	1	1
55	том или ином	1	1
56	в противном случае	1	1
57	как если бы	1	1
58	в том или	1	1
59	в данном случае	6	1
60	не только в	2	1
61	противном случае он	1	1
62	то же самое	1	1
63	для проникновения в	1	1
64	таким образом для	1	1
65	как будто бы	3	1
66	одна из них	1	1
67	не следует забывать	1	1
68	имеем дело с	2	1
69	быть сведена к	1	1
70	не в том	1	1
71	все же не	1	1
72	с другой в	1	1
73	не могло бы	1	1
74	с большей или	1	1
75	все то что	1	1
76	следует подчеркнуть что	5	1
77	а не только	1	1
78	следует забывать что	1	1
79	а в том	1	1
80	в свою очередь	4	1
81	бесконечное число раз	1	1
82	них не может	1	1
83	в каждой из	1	1
84	той или иной	2	1
85	в этой системе	1	1
86	ни одна из	1	1
87	а порой и	1	1
88	ли это что	1	1
89	и в конечном	1	1
90	действительной жизни и	1	1
91	мы имеем дело	3	1
92	к тому же	4	1
93	могло бы быть	1	1
94	заключает в себе	1	1
