N	2gram	Berdyaev_N_1	Narrotol
1	не только	5	26
2	а не	17	17
3	но и	3	15
4	в том	8	14
5	и не	11	14
6	в этом	7	13
7	и в	16	13
8	том что	2	13
9	такого рода	2	12
10	только в	1	11
11	может быть	7	10
12	своего рода	1	9
13	так и	2	9
14	к тому	3	9
15	а в	2	9
16	в себе	2	8
17	то что	4	8
18	не в	6	8
19	не может	16	8
20	к себе	1	7
21	у него	2	6
22	в своем	1	6
23	и к	5	6
24	но в	2	6
25	в жизни	5	6
26	никогда не	6	6
27	и т.п	2	6
28	можно сказать	1	6
29	а также	1	6
30	в его	1	6
31	прежде всего	4	6
32	жизни в	3	6
33	я не	2	5
34	отличие от	1	5
35	что он	1	5
36	как в	3	5
37	хотя и	2	5
38	в нем	5	5
39	он не	8	5
40	на протяжении	2	5
41	в котором	1	5
42	место в	2	5
43	не столько	1	5
44	в то	2	5
45	о том	4	5
46	с одной	2	5
47	с другой	3	5
48	одной стороны	2	5
49	в той	1	5
50	в отличие	1	5
51	и мира	1	4
52	в ее	3	4
53	в этой	1	4
54	в силу	1	4
55	уже не	2	4
56	в мире	3	4
57	войны и	2	4
58	в своей	3	4
59	не к	2	4
60	в конце	1	4
61	не менее	4	4
62	времени и	2	4
63	истории в	5	4
64	свидетельствует о	1	4
65	как и	7	4
66	как это	2	4
67	и все	4	4
68	с ним	1	4
69	и у	1	4
70	жизни и	8	4
71	что в	9	4
72	все что	1	4
73	для себя	1	3
74	с его	6	3
75	но не	2	3
76	все эти	2	3
77	в известном	1	3
78	и его	1	3
79	особое место	1	3
80	характер и	1	3
81	и того	1	3
82	одна из	2	3
83	того чтобы	2	3
84	по своей	1	3
85	и когда	1	3
86	мира и	2	3
87	это не	4	3
88	к ней	1	3
89	известном смысле	1	3
90	и даже	2	3
91	и для	4	3
92	а к	1	3
93	сказать что	3	3
94	он может	1	2
95	жизни мы	1	2
96	должна быть	3	2
97	мы не	2	2
98	же как	2	2
99	в будущем	2	2
100	в ней	5	2
101	еще не	3	2
102	в чем	1	2
103	себе и	1	2
104	в центре	2	2
105	в самом	1	2
106	из этих	1	2
107	роль в	2	2
108	жизнью и	1	2
109	что она	2	2
110	не будет	7	2
111	было бы	1	2
112	и что	2	2
113	часто не	1	2
114	жизни с	1	2
115	но он	1	2
116	и более	1	2
117	мира не	1	2
118	не имеет	4	2
119	говорить о	1	2
120	своей природе	1	2
121	потому что	4	2
122	в области	1	2
123	у нас	1	2
124	оно не	1	2
125	но для	2	2
126	подобно тому	3	2
127	не могу	1	2
128	можно было	2	2
129	быть может	4	2
130	а во	1	2
131	вся жизнь	1	2
132	себя в	2	2
133	обратиться к	1	2
134	давно уже	1	2
135	не случайно	1	2
136	бытия в	2	2
137	нового времени	12	2
138	превращается в	1	2
139	зависит от	2	2
140	так же	2	2
141	я уже	2	2
142	по своему	4	2
143	тому как	3	2
144	в категориях	2	2
145	но это	6	2
146	к которому	1	2
147	но также	1	2
148	истории а	2	2
149	хотя бы	2	2
150	во время	1	2
151	вступает в	1	2
152	в свою	1	2
153	можно назвать	2	2
154	как на	1	2
155	они не	1	2
156	не имел	1	1
157	это и	2	1
158	который можно	1	1
159	перед лицом	1	1
160	ведь и	2	1
161	в зависимости	1	1
162	христианской культуры	1	1
163	мир не	1	1
164	вопрос о	3	1
165	более не	2	1
166	героя но	1	1
167	но она	2	1
168	к вечности	2	1
169	на себя	1	1
170	и другая	1	1
171	зависимости от	1	1
172	жизни это	1	1
173	это время	1	1
174	в xix	1	1
175	и возврат	1	1
176	быть в	2	1
177	во всех	3	1
178	только изнутри	1	1
179	в новом	2	1
180	за пределы	3	1
181	наряду с	3	1
182	и нет	1	1
183	о самом	1	1
184	в которой	1	1
185	приобретает характер	1	1
186	по преимуществу	1	1
187	с их	2	1
188	не могла	2	1
189	быть только	1	1
190	человека оказывается	1	1
191	нашего времени	2	1
192	в формах	1	1
193	смысле как	1	1
194	людей и	1	1
195	в нее	1	1
196	с собой	1	1
197	ее жизни	1	1
198	в будущее	1	1
199	по природе	1	1
200	этом смысле	2	1
201	истории и	9	1
202	в новое	3	1
203	в это	1	1
204	ни в	6	1
205	и особенно	1	1
206	всю жизнь	1	1
207	не всегда	1	1
208	новые формы	1	1
209	несоизмеримо более	1	1
210	во взаимной	1	1
211	этом я	1	1
212	должно быть	4	1
213	одного и	1	1
214	есть в	2	1
215	и счастья	1	1
216	она сама	1	1
217	в такой	1	1
218	всяком случае	1	1
219	про него	1	1
220	было ее	1	1
221	мысли и	2	1
222	возвращение к	3	1
223	строю мыслей	1	1
224	мир и	2	1
225	к новой	1	1
226	их в	1	1
227	не могли	2	1
228	личность в	2	1
229	нет никакого	1	1
230	к такой	1	1
231	она не	3	1
232	человечества и	1	1
233	в основе	3	1
234	время как	2	1
235	того и	1	1
236	жизни не	3	1
237	мыслей и	1	1
238	моря и	1	1
239	не по	1	1
240	для другого	1	1
241	как будто	2	1
242	в каком	1	1
243	к той	1	1
244	лишь новое	1	1
245	не могут	1	1
246	есть только	1	1
247	истории не	3	1
248	выразить свое	1	1
249	во все	1	1
250	и вполне	1	1
251	убеждения в	1	1
252	не хотел	1	1
253	с ее	5	1
254	что все	2	1
255	легче чем	1	1
256	в виду	1	1
257	начало нового	3	1
258	так на	1	1
259	то время	1	1
260	приводит к	1	1
261	природе своей	1	1
262	миру а	1	1
263	на нее	1	1
264	не с	1	1
265	есть время	1	1
266	во многом	1	1
267	еще в	1	1
268	движение времени	1	1
269	приобщается к	1	1
270	не на	1	1
271	мы всегда	1	1
272	то они	1	1
273	мира а	2	1
274	теперь и	1	1
275	более высокой	1	1
276	времени в	2	1
277	сам себя	1	1
278	это была	1	1
279	это было	3	1
280	к нему	1	1
281	жизни для	1	1
282	нем не	1	1
283	и во	1	1
284	который и	1	1
285	лишь к	1	1
286	все время	2	1
287	и она	1	1
288	это всегда	1	1
289	каждого человека	2	1
290	время когда	1	1
291	ли он	1	1
292	того же	1	1
293	в большинстве	1	1
294	вернуться к	2	1
295	него и	1	1
296	большинстве случаев	1	1
297	день был	1	1
298	мир в	1	1
299	не будут	2	1
300	и их	1	1
301	в прошлом	3	1
302	не для	1	1
303	и рождается	1	1
304	которые могут	1	1
305	тем что	1	1
306	для того	1	1
307	лишь для	1	1
308	в последние	1	1
309	истины о	1	1
310	мир который	1	1
311	до сих	1	1
312	нашей жизни	1	1
313	ли это	2	1
314	и быть	1	1
315	что не	1	1
316	связано с	1	1
317	ничем не	1	1
318	этой системе	1	1
319	не означает	3	1
320	человеческой жизни	1	1
321	и с	2	1
322	когда она	1	1
323	что мы	1	1
324	может иметь	1	1
325	уже давно	1	1
326	вместе с	2	1
327	истории ее	1	1
328	и потому	4	1
329	xix века	5	1
330	к жизни	3	1
331	не удалось	1	1
332	в мир	1	1
333	том смысле	1	1
334	и от	2	1
335	сих пор	1	1
336	все это	5	1
337	и оно	1	1
338	мире а	1	1
339	в универсуме	1	1
340	времени его	1	1
341	не существует	3	1
342	история в	3	1
343	в этих	1	1
344	борьбы со	1	1
345	мы должны	1	1
346	будто бы	1	1
347	или не	1	1
348	человека не	1	1
349	к ее	3	1
350	но оно	1	1
351	не знает	6	1
352	и сейчас	1	1
353	жизни а	1	1
354	который не	1	1
355	во всяком	1	1
356	и личности	1	1
