N	2gram	Medvedev_S_1	Dialekti
1	и не	1	30
2	по себе	1	25
3	и в	3	18
4	ничего не	1	17
5	может быть	2	17
6	и есть	1	16
7	не только	3	13
8	то что	2	13
9	что в	2	13
10	в этом	5	12
11	было бы	2	12
12	и что	2	12
13	не может	1	12
14	что это	1	11
15	что он	1	11
16	как бы	2	11
17	это значит	1	11
18	все это	7	11
19	то же	2	10
20	прежде всего	1	10
21	отнюдь не	1	9
22	стало быть	1	9
23	так и	1	9
24	это не	1	9
25	том что	2	9
26	никогда не	1	9
27	в том	5	9
28	сама по	1	8
29	и как	1	7
30	что она	1	7
31	вовсе не	1	7
32	но и	2	7
33	хотя бы	1	6
34	в чем	1	6
35	с другой	1	6
36	не в	3	6
37	в то	1	6
38	с ним	1	6
39	никак не	1	6
40	не было	1	6
41	ни на	1	6
42	все же	1	5
43	и мы	2	5
44	в этих	1	5
45	ровно ничего	1	5
46	как же	3	5
47	мы должны	1	5
48	или не	1	5
49	а в	1	5
50	это и	2	4
51	по крайней	1	4
52	и более	1	4
53	же время	1	4
54	только то	1	4
55	о том	1	4
56	крайней мере	1	4
57	но не	1	4
58	не мешает	1	4
59	в котором	1	4
60	в конце	2	4
61	больше того	1	4
62	во всяком	1	4
63	должна быть	2	3
64	но она	1	3
65	конечно не	1	3
66	в них	1	3
67	даже в	1	3
68	тому что	1	3
69	но только	1	3
70	и о	1	3
71	один из	1	3
72	только в	2	3
73	же это	1	3
74	даже не	1	3
75	еще и	1	3
76	и потому	1	3
77	в данном	1	3
78	в его	3	3
79	или нет	1	3
80	бы в	1	3
81	конце концов	2	3
82	но как	1	2
83	все эти	1	2
84	в виде	1	2
85	в каждом	1	2
86	в мире	1	2
87	как и	1	2
88	между собою	1	2
89	в своей	1	2
90	всяком случае	1	2
91	не должна	1	2
92	мысли в	1	2
93	дело не	2	2
94	как только	2	2
95	не наука	1	2
96	для этого	1	2
97	тех кто	1	2
98	на что	1	2
99	эти два	1	2
100	в него	1	2
101	с одной	1	2
102	только тогда	1	2
103	именно в	1	2
104	а с	1	2
105	только как	2	2
106	в частности	2	2
107	объекта и	1	2
108	два или	1	2
109	одной стороны	1	2
110	еще не	2	2
111	какие же	1	2
112	даже больше	1	2
113	она должна	1	2
114	тем более	2	2
115	и стало	1	2
116	я и	1	1
117	а между	1	1
118	тем же	1	1
119	что эти	1	1
120	мы не	1	1
121	столь же	1	1
122	тот занимается	1	1
123	друг от	1	1
124	недостаточно глубоко	1	1
125	дает нам	1	1
126	в связи	1	1
127	кто не	1	1
128	и наконец	1	1
129	как то	1	1
130	эти вопросы	1	1
131	иначе и	1	1
132	и научно	1	1
133	не пошел	1	1
134	в силу	1	1
135	и по	1	1
136	него и	1	1
137	таким образом	2	1
138	бы они	1	1
139	что все	1	1
140	же не	1	1
141	главным образом	2	1
142	его в	1	1
143	такого построения	1	1
144	далеко не	2	1
145	в этой	1	1
146	со своими	1	1
147	одно дело	2	1
148	еще недостаточно	1	1
149	именно и	1	1
150	место в	1	1
151	этом не	1	1
152	исследование и	1	1
153	тогда и	1	1
154	против этого	1	1
155	и его	1	1
156	связи с	1	1
157	как будто	2	1
158	всему этому	1	1
159	когда мы	1	1
160	же самое	1	1
161	этого и	1	1
162	принять его	1	1
163	от друга	1	1
164	зависимость и	1	1
165	по природе	2	1
166	естествознания и	1	1
167	в результате	2	1
168	и должно	1	1
169	это происходит	1	1
170	им не	2	1
171	происходит не	1	1
172	должно было	1	1
173	между тем	1	1
174	и только	3	1
175	тотчас же	1	1
176	исторического развития	2	1
177	и заключается	2	1
178	и история	1	1
179	его собственная	1	1
180	наука а	1	1
181	не дает	1	1
182	у него	1	1
183	в систему	1	1
184	нет его	1	1
185	в соответствующих	1	1
186	мы еще	1	1
187	зависит от	1	1
188	представить себе	1	1
189	и самые	1	1
190	где же	1	1
191	перед нами	1	1
192	его собственные	1	1
193	по существу	2	1
194	не меняет	1	1
195	же теперь	1	1
196	она может	2	1
197	есть метод	1	1
198	это как	1	1
199	развития и	1	1
200	на первый	1	1
201	для нас	3	1
202	но именно	1	1
203	без социологии	1	1
204	между ними	1	1
205	они не	1	1
206	понимать что	1	1
