N	2gram	Tiupa_Lite_1	KulturaY
1	в том	16	30
2	и в	8	24
3	потому что	3	23
4	том что	14	21
5	что в	3	17
6	было бы	2	15
7	в этом	12	14
8	точки зрения	6	14
9	может быть	13	13
10	все же	4	12
11	таким образом	3	12
12	и не	12	12
13	в его	7	12
14	не в	8	11
15	только в	8	11
16	хотя бы	2	10
17	в самом	3	10
18	не только	24	10
19	в силу	4	10
20	вовсе не	1	10
21	самом деле	2	9
22	с точки	2	9
23	так как	1	9
24	если бы	1	9
25	о том	2	9
26	того что	6	9
27	отношению к	2	9
28	прежде всего	11	9
29	то что	10	9
30	а только	2	8
31	по отношению	3	8
32	уже не	7	8
33	то же	5	8
34	тем что	2	8
35	как раз	4	8
36	а не	16	8
37	не может	5	7
38	это не	4	7
39	в них	1	7
40	не менее	7	7
41	связи с	6	7
42	в области	3	7
43	так и	4	7
44	в качестве	17	7
45	с другой	3	7
46	как бы	7	7
47	вместе с	1	7
48	только потому	1	6
49	мы имеем	1	6
50	зависимости от	1	6
51	однако не	1	6
52	в которой	1	6
53	все эти	2	6
54	при этом	19	6
55	в которых	1	6
56	тогда когда	1	6
57	не случайно	2	6
58	можно было	2	6
59	что он	5	6
60	в какой	1	6
61	но и	17	6
62	именно в	1	6
63	что же	1	6
64	этого рода	2	6
65	другой стороны	1	6
66	что такое	2	6
67	например в	3	5
68	в зависимости	1	5
69	еще не	4	5
70	xix века	6	5
71	но не	4	5
72	не просто	1	5
73	и с	1	5
74	с тем	1	5
75	так сказать	1	5
76	по крайней	1	5
77	и его	4	5
78	к тому	2	5
79	в виду	3	5
80	и что	1	5
81	между тем	2	5
82	а потому	2	5
83	крайней мере	1	5
84	еще и	3	5
85	всяком случае	2	5
86	что не	2	5
87	языка как	1	5
88	в той	1	5
89	той мере	1	5
90	целый ряд	1	5
91	этом отношении	2	5
92	а в	3	5
93	во всяком	3	5
94	того же	2	4
95	разумеется не	1	4
96	и на	1	4
97	с его	5	4
98	что они	1	4
99	в рамках	6	4
100	как в	5	4
101	в целом	8	4
102	из этих	2	4
103	роль в	2	4
104	на то	1	4
105	в нем	2	4
106	в данном	5	4
107	тем не	2	4
108	тем самым	5	4
109	и является	2	4
110	к себе	3	4
111	в пределах	3	4
112	не на	2	4
113	что и	1	4
114	должен быть	2	4
115	не есть	2	4
116	из них	4	4
117	со стороны	4	4
118	до сих	1	4
119	в частности	15	4
120	по существу	1	4
121	сих пор	1	4
122	один из	3	4
123	же в	5	4
124	в этих	1	4
125	и то	2	3
126	в котором	1	3
127	той же	3	3
128	в сущности	2	3
129	на себя	2	3
130	то это	2	3
131	и он	1	3
132	в общем	1	3
133	очевидно что	1	3
134	в связи	4	3
135	в своем	11	3
136	в этой	4	3
137	с их	3	3
138	в себе	7	3
139	и если	1	3
140	должна быть	2	3
141	на том	2	3
142	состоит в	11	3
143	соответствии с	1	3
144	несмотря на	3	3
145	должно быть	1	3
146	в г	1	3
147	в их	3	3
148	даже в	2	3
149	значение слова	1	3
150	казалось бы	5	3
151	ли не	3	3
152	свою очередь	1	3
153	сводится к	3	3
154	для этого	4	3
155	и здесь	1	3
156	можно сказать	1	3
157	нуждается в	3	3
158	меня и	1	3
159	уже в	5	3
160	себе в	2	3
161	в одном	1	3
162	уже и	1	3
163	не было	3	3
164	в особенности	1	3
165	и даже	3	3
166	или иной	2	3
167	в свою	1	3
168	а с	1	3
169	в соответствии	1	3
