N	2gram	Medvedev_U_1	Hudozhes
1	том что	2	16
2	и в	14	14
3	так и	1	13
4	не только	10	12
5	о том	1	12
6	в том	2	12
7	а не	10	12
8	в себе	2	11
9	в этом	7	11
10	прежде всего	8	11
11	в своей	3	10
12	для него	3	10
13	то же	5	9
14	как и	3	9
15	что он	2	9
16	в качестве	1	9
17	у него	1	9
18	в этой	4	8
19	то что	7	8
20	же время	3	8
21	ничего не	2	8
22	в его	2	8
23	между тем	2	8
24	в то	3	8
25	это не	3	7
26	не в	2	7
27	уже не	1	7
28	не случайно	2	7
29	не может	7	7
30	было бы	3	6
31	никогда не	1	6
32	что в	1	6
33	самом деле	2	5
34	с его	2	5
35	но в	3	5
36	об этом	1	5
37	только в	2	5
38	по мнению	1	5
39	может быть	6	5
40	но и	4	5
41	в частности	3	5
42	он уже	1	4
43	в ней	1	4
44	в своем	1	4
45	в самом	2	4
46	всего лишь	1	4
47	на то	1	4
48	что она	2	4
49	он не	1	4
50	и с	2	4
51	она не	1	4
52	и это	1	4
53	можно сказать	1	4
54	того что	1	4
55	и быть	1	4
56	в конце	2	4
57	как раз	2	4
58	не было	1	4
59	и все	1	4
60	отнюдь не	1	3
61	все же	3	3
62	но он	1	3
63	в нем	1	3
64	она в	1	3
65	тем что	2	3
66	этом отношении	2	3
67	что при	1	3
68	для себя	1	3
69	в пределах	1	3
70	приводит к	1	3
71	если бы	2	3
72	о нем	1	3
73	это в	1	3
74	же в	1	3
75	но не	2	3
76	и даже	1	3
77	превращается в	2	3
78	то и	1	3
79	и для	2	3
80	в таком	1	3
81	же как	1	2
82	в их	4	2
83	той же	1	2
84	мы не	2	2
85	в противовес	2	2
86	конечном счете	4	2
87	в художественном	5	2
88	как нам	1	2
89	так или	1	2
90	на его	1	2
91	не следует	3	2
92	они в	1	2
93	в первую	1	2
94	а его	2	2
95	первую очередь	1	2
96	по себе	2	2
97	впервые в	1	2
98	должно быть	1	2
99	иначе говоря	1	2
100	не столько	2	2
101	сих пор	2	2
102	все это	5	2
103	не о	3	2
104	тех кто	1	2
105	представляется нам	2	2
106	по нашему	3	2
107	по теории	1	2
108	и что	1	2
109	до сих	2	2
110	в значительной	1	2
111	в конечном	4	2
112	и потому	1	2
113	и так	1	2
114	мыслей о	1	2
115	него уже	1	2
116	или иначе	1	2
117	до конца	1	2
118	отсюда и	1	2
119	что же	1	2
120	и не	8	2
121	еще раз	1	2
122	только для	1	2
123	отказ от	1	2
124	о котором	1	2
125	художественного восприятия	1	2
126	то о	1	2
127	в системе	2	2
128	а между	2	1
129	конструктивный принцип	1	1
130	в сфере	1	1
131	человека и	1	1
132	и то	3	1
133	и др	1	1
134	художественных произведений	2	1
135	нем но	1	1
136	по его	1	1
137	именно к	1	1
138	хотя бы	5	1
139	литературы и	2	1
140	в широком	2	1
141	нам представляется	2	1
142	словами как	1	1
143	бы в	1	1
144	в сторону	2	1
145	не все	2	1
146	художественного впечатления	1	1
147	нет и	1	1
148	к сожалению	3	1
149	относится к	1	1
150	первый взгляд	1	1
151	его на	1	1
152	в этот	1	1
153	в произведении	1	1
154	в которой	1	1
155	он в	1	1
156	частности с	1	1
157	но именно	1	1
158	о которой	1	1
159	об анне	1	1
160	всех этих	2	1
161	не как	3	1
162	что еще	1	1
163	у толстого	1	1
164	мы полагаем	1	1
165	работ в	1	1
166	что нельзя	1	1
167	правило не	1	1
168	то ни	3	1
169	что все	2	1
170	тем в	1	1
171	их и	2	1
172	или даже	1	1
173	а как	2	1
174	входит в	1	1
175	этом смысле	2	1
176	произведения а	1	1
177	в итоге	2	1
178	к области	2	1
179	литературного произведения	1	1
180	достоевского и	1	1
181	далеко не	1	1
182	этого не	1	1
183	с тем	1	1
184	со своими	1	1
185	он и	1	1
186	как таковой	2	1
187	на первый	2	1
188	или менее	1	1
189	в г	1	1
190	установка на	1	1
191	в которых	1	1
192	признать что	1	1
193	которых так	1	1
194	поднимается до	1	1
195	впадая в	1	1
196	друг другу	1	1
197	их в	1	1
198	тому чтобы	1	1
199	что этот	1	1
200	у кого	1	1
201	так много	1	1
202	с другом	1	1
203	данного произведения	1	1
204	не могут	2	1
205	могут быть	2	1
206	же самое	2	1
