1	которых мы говорили выше	2	3
2	в каждый данный момент	1	3
3	о которых мы говорили	2	3
4	несмотря на то что	1	2
5	заключается в том что	4	2
6	с этой точки зрения	4	1
7	на вопрос можно ли	1	1
8	с самого начала в	1	1
9	которого в данном случае	1	1
10	нет и не может	1	1
11	одно и то же	3	1
12	приводит к тому что	2	1
13	одной и той же	2	1
14	в этом и состоит	1	1
15	состоит в том что	3	1
16	таким образом оказывается что	1	1
17	в том что он	2	1
18	но вместе с тем	1	1
19	и не может быть	1	1
20	в то время как	2	1
21	в самом деле если	1	1
22	в том и другом	2	1
23	только по отношению к	1	1
24	представление о том что	2	1
25	но для того чтобы	1	1
26	то же самое что	2	1
27	в том что они	1	1
28	в том числе и	1	1
29	же самое что и	1	1
30	друг от друга в	1	1
