N	3gram	Bakhtin_Fr_8	DiskursI
1	в отличие от	1	12
2	в данном случае	2	6
3	в том что	6	6
4	то же время	10	5
5	как и в	4	5
6	по отношению к	1	4
7	в этом отношении	1	4
8	в то же	10	4
9	с одной стороны	2	4
10	так и в	1	3
11	не может быть	2	3
12	о том что	2	3
13	той или иной	1	3
14	одной стороны и	1	2
15	состоит в том	1	2
16	подобно тому как	1	2
17	с точки зрения	2	2
18	и то что	1	2
19	но при этом	1	2
20	и как бы	1	2
21	в мире в	1	2
22	дело в том	2	2
23	в свое время	1	2
24	и прежде всего	1	2
25	в другом месте	3	1
26	в той или	1	1
27	на одном лице	1	1
28	потому что в	1	1
29	если можно так	1	1
30	прежде всего в	1	1
31	в самом деле	1	1
32	и там где	1	1
33	с другой стороны	2	1
34	хвала и брань	3	1
35	и в то	5	1
36	до известной степени	1	1
37	жизни и смерти	1	1
38	и в современной	1	1
39	бы то ни	2	1
40	и т.п но	1	1
41	только то что	1	1
42	свет и на	1	1
43	можно так выразиться	1	1
44	а с другой	1	1
45	весьма существенную роль	1	1
46	со своим прошлым	1	1
47	и могут быть	1	1
48	и в частности	1	1
49	литературы нового времени	1	1
50	как правило не	1	1
51	между вещами и	3	1
52	то ни было	1	1
53	и не быть	1	1
54	а также и	1	1
55	не в том	1	1
56	хвалы и брани	4	1
57	и т.п в	2	1
58	имел место в	1	1
59	с самого начала	1	1
60	в пределах одной	1	1
61	включает в себя	1	1
62	можно сказать что	2	1
63	существенную роль в	2	1
64	в большинстве случаев	6	1
65	и здесь в	1	1
66	в том числе	3	1
67	события так и	1	1
68	том числе и	2	1
69	речь идет о	1	1
