N	2gram	Voloshinov_1	NovoeSre
1	а не	6	17
2	и в	38	16
3	не может	12	16
4	и не	14	11
5	и есть	1	10
6	истории и	1	9
7	что в	1	9
8	как не	2	8
9	в том	2	8
10	жизни и	3	8
11	он не	2	8
12	культуры и	1	7
13	в этом	10	7
14	может быть	13	7
15	не будет	3	7
16	как и	10	7
17	с его	7	6
18	не в	6	6
19	ни в	1	6
20	общественной жизни	10	6
21	никогда не	7	6
22	лишь в	4	6
23	но это	2	6
24	не знает	3	6
25	должен быть	2	5
26	мы живем	1	5
27	в ней	8	5
28	и к	4	5
29	не только	27	5
30	в жизни	2	5
31	все это	4	5
32	в нем	4	5
33	и общественной	1	5
34	со всех	2	4
35	быть может	3	4
36	о том	4	4
37	перестает быть	1	4
38	то что	8	4
39	это не	3	4
40	прежде всего	21	4
41	не было	2	4
42	должно быть	2	4
43	вступаем в	1	4
44	и потому	2	4
45	по своему	3	4
46	не менее	1	4
47	и для	3	4
48	и все	4	4
49	потому что	5	4
50	наши дни	1	3
51	с другой	1	3
52	смысле слова	1	3
53	в ее	3	3
54	вопрос о	2	3
55	человека и	1	3
56	и начало	1	3
57	еще не	3	3
58	во всех	6	3
59	за пределы	1	3
60	в истории	1	3
61	наряду с	1	3
62	как в	2	3
63	конечно не	3	3
64	право и	1	3
65	не значит	1	3
66	перейти к	2	3
67	в мире	2	3
68	но и	13	3
69	не есть	1	3
70	и пр	4	3
71	с тем	8	3
72	к лицу	1	3
73	в своей	2	3
74	жизни которые	1	3
75	тому как	1	3
76	она не	1	3
77	что такое	4	3
78	не существует	4	3
79	в основе	2	3
80	истории не	1	3
81	к тому	4	3
82	в наши	1	3
83	сказать что	3	3
84	и это	7	2
85	же как	1	2
86	это и	1	2
87	роль в	3	2
88	не имеют	1	2
89	ведь и	2	2
90	можно было	4	2
91	так и	6	2
92	времени и	2	2
93	к самой	1	2
94	мы не	9	2
95	общества и	3	2
96	мира и	1	2
97	и с	5	2
98	для этого	1	2
99	потребностей и	1	2
100	еще до	1	2
101	будет уже	1	2
102	я не	1	2
103	жизни как	1	2
104	и что	1	2
105	и на	6	2
106	быть в	1	2
107	истории а	1	2
108	должно было	3	2
109	на протяжении	1	2
110	но не	2	2
111	в новом	1	2
112	сильнее и	1	2
113	все время	5	2
114	с этим	2	2
115	помнить что	2	2
116	ни к	2	2
117	хотя и	3	2
118	но в	5	2
119	в обществе	4	2
120	все эти	2	2
121	себя в	4	2
122	думать что	1	2
123	с их	1	2
124	есть в	1	2
125	в себе	9	2
126	уже не	4	2
127	не могла	1	2
128	это связано	1	2
129	не будут	1	2
130	не к	3	2
131	нашего времени	1	2
132	у него	1	2
133	нет и	3	2
134	и даже	3	2
135	и т.п	21	2
136	связаны с	4	2
137	бытия в	1	2
138	к более	1	2
139	зависит от	2	2
140	том что	3	2
141	вместе с	5	2
142	так же	4	2
143	место в	2	2
144	мысли и	1	2
145	другой стороны	1	2
146	обращение к	1	2
147	том и	1	2
148	как будто	1	2
149	этот мир	1	2
150	как это	5	2
151	но для	3	2
152	равно как	2	2
153	в то	9	2
154	одна из	1	2
155	того чтобы	7	2
156	и от	7	2
157	и весь	1	2
158	хотя бы	18	2
159	все они	1	2
160	а в	5	2
161	от всякого	1	2
162	в будущем	3	2
163	когда мы	6	2
164	из ее	1	2
165	нужно помнить	1	1
166	весь стиль	1	1
167	также что	1	1
168	оно может	1	1
169	лишь там	1	1
170	он может	1	1
171	только потому	2	1
172	переход от	1	1
173	к таким	1	1
174	россию и	1	1
175	слишком большой	1	1
176	характер и	1	1
177	более широкого	1	1
178	перед лицом	1	1
179	как результат	1	1
180	и до	1	1
181	слова а	1	1
182	был и	2	1
183	и этот	1	1
184	с собой	2	1
185	мы уже	10	1
186	не с	3	1
187	все свои	1	1
188	еще в	1	1
189	во внешнюю	2	1
190	в одиночестве	2	1
191	к тем	1	1
192	с ним	2	1
193	кризисов и	1	1
194	сказать ни	1	1
195	можно сказать	4	1
196	это всегда	1	1
197	говорить о	1	1
198	на себя	1	1
199	движения и	1	1
200	только так	1	1
201	не был	1	1
202	в виду	3	1
203	во внешних	1	1
204	зависимости от	5	1
205	жизни это	2	1
206	той роли	1	1
207	же мере	1	1
208	что его	1	1
209	в чем	1	1
210	других людей	1	1
211	и во	1	1
212	частной собственности	1	1
213	на всех	1	1
214	не могут	1	1
215	к нему	2	1
216	из сторон	1	1
217	то он	3	1
218	понять что	1	1
219	волн и	1	1
220	значение и	1	1
221	в его	6	1
222	в эти	1	1
223	но нет	1	1
224	себе и	2	1
225	за существование	1	1
226	той социальной	2	1
227	значение для	1	1
228	народов и	1	1
229	нем ничего	1	1
230	в значительной	2	1
231	к которому	1	1
232	в своем	1	1
233	как например	2	1
234	и нет	2	1
235	жизни его	1	1
236	на человека	1	1
237	человека в	2	1
238	связанный с	2	1
239	что он	2	1
240	особое место	1	1
241	только в	6	1
242	по своей	2	1
243	от этого	1	1
244	так на	1	1
245	и труда	1	1
246	в самом	4	1
247	к чему	2	1
248	он в	1	1
249	из этих	1	1
250	к достижению	2	1
251	было так	1	1
252	же и	1	1
253	для всех	2	1
254	сословия и	1	1
255	своих сторон	1	1
256	истории человечества	1	1
257	уже в	5	1
258	вопроса о	4	1
259	в большинстве	1	1
260	человек не	2	1
261	все ее	1	1
262	свидетельствует о	1	1
263	вообще не	1	1
264	что вообще	1	1
265	большинстве случаев	1	1
266	своем развитии	1	1
267	из них	3	1
268	искусство мораль	1	1
269	человека на	1	1
270	бы к	1	1
271	одному из	1	1
272	все еще	1	1
273	для того	9	1
274	и их	5	1
275	как часто	1	1
276	и когда	2	1
277	истории на	1	1
278	нуждается в	2	1
279	к одному	1	1
280	слова в	5	1
281	в конце	6	1
282	мира мира	1	1
283	который можно	1	1
284	но ведь	6	1
285	они сами	1	1
286	общество и	1	1
287	друг друга	2	1
288	смысле как	1	1
289	всех своих	4	1
290	тем что	2	1
291	заключает в	4	1
292	существенным моментом	2	1
293	к той	1	1
294	от того	3	1
295	в основу	1	1
296	но все	4	1
297	это конечно	1	1
298	значительной степени	2	1
299	выражения переход	1	1
300	возможно что	1	1
301	из всех	1	1
302	пришли к	1	1
303	знает что	1	1
304	общества в	2	1
305	с другими	2	1
306	было бы	7	1
307	в каких	1	1
308	в социальной	3	1
309	весь мир	1	1
310	лишь по	1	1
311	но оно	1	1
312	социальной жизни	2	1
313	для них	2	1
314	связано с	2	1
315	превращается в	1	1
316	нет в	1	1
317	а на	2	1
318	в этой	6	1
319	ничем не	1	1
320	его было	1	1
321	не всегда	2	1
322	долгое время	3	1
323	что мы	11	1
324	и того	1	1
325	ближе к	1	1
326	одного и	1	1
327	он конечно	1	1
328	в этих	2	1
329	может иметь	1	1
330	жизнь не	1	1
331	но если	1	1
332	нашей мысли	1	1
333	силы жизненной	1	1
334	от нашей	1	1
335	мы конечно	2	1
336	на это	4	1
337	в котором	3	1
338	и процесс	1	1
339	что вся	2	1
340	на иной	1	1
341	мы в	3	1
342	одна сторона	1	1
343	не должно	2	1
344	у нас	4	1
345	жизни с	1	1
346	в зависимости	5	1
347	в силу	1	1
348	с миром	1	1
349	творчества и	1	1
350	мы должны	10	1
351	их в	3	1
352	человеческом обществе	1	1
353	в человеческом	1	1
354	что этот	1	1
355	искусства философии	1	1
356	в состоянии	1	1
357	по себе	1	1
358	в той	5	1
359	борьбе за	1	1
360	и вся	1	1
361	будто бы	1	1
362	нет никакого	1	1
363	культура по	1	1
364	сих пор	2	1
365	так как	7	1
366	человека не	4	1
367	обращения к	2	1
368	должны быть	1	1
369	неба и	1	1
370	она должна	1	1
371	в сущности	1	1
372	в более	1	1
373	это уже	1	1
374	было лишь	1	1
375	до сих	1	1
376	совершается в	1	1
377	этого конечно	1	1
378	жизни этих	1	1
379	так много	1	1
380	а к	2	1
381	жизни весь	1	1
382	или иная	1	1
383	они являются	1	1
384	более всего	1	1
385	чтобы эти	1	1
386	не останется	2	1
387	и его	7	1
388	или не	1	1
389	они возникают	1	1
390	так называемый	1	1
391	сам собой	1	1
392	процессы в	1	1
393	и начали	1	1
394	возможно лишь	1	1
395	в области	5	1
396	только одна	2	1
397	нет ничего	2	1
398	в каком	2	1
399	та или	1	1
400	в свою	6	1
401	должны помнить	1	1
402	и оно	1	1
403	воспринимаются как	1	1
404	бывало в	1	1
405	от всех	1	1
406	того же	1	1
407	про себя	2	1
408	ли он	2	1
409	должны перейти	1	1
410	людей но	1	1
411	общества так	1	1
412	в которой	7	1
413	слов чтобы	1	1
414	жизни мы	2	1
415	эти слова	8	1
416	было быть	1	1
417	для настоящего	1	1
418	тогда не	1	1
419	сочетаться с	1	1
420	того времени	4	1
421	с образованием	1	1
422	творчества не	1	1
423	все что	1	1
