N	3gram	Tiupa_Hudo_2	Stilisti
1	в то же	4	9
2	то же время	4	7
3	для того чтобы	3	7
4	того или иного	2	5
5	с точки зрения	2	5
6	с самого начала	1	4
7	то же самое	2	4
8	той или иной	1	4
9	в этом случае	1	3
10	не только в	2	3
11	то или иное	1	3
12	но все же	1	3
13	о том что	7	2
14	и в то	2	2
15	можно сказать что	1	2
16	к тому что	4	2
17	тот или иной	1	2
18	как бы в	1	2
19	в значительной степени	1	2
20	в казенной палате	1	2
21	но при этом	3	2
22	в этом отношении	1	2
23	же самое время	1	2
24	что же такое	1	2
25	не может быть	3	2
26	жизни как бы	1	1
27	в разговоре с	1	1
28	и не было	1	1
29	и все же	1	1
30	на наш взгляд	4	1
31	так а не	1	1
32	это отнюдь не	1	1
33	в этом разговоре	1	1
34	его места и	1	1
35	содержит в себе	1	1
36	тем что он	1	1
37	и в этом	2	1
38	именно потому что	1	1
39	в своей жизни	1	1
40	не только не	2	1
41	и при этом	1	1
42	это же самое	1	1
43	с другой стороны	1	1
44	хотя бы и	2	1
45	как раз и	1	1
46	не происходит ли	1	1
47	в том что	11	1
48	и ответ на	1	1
49	ответ на него	1	1
50	в жизни и	1	1
51	в пределах одного	1	1
52	можно было бы	2	1
53	по отношению к	7	1
54	что же мы	1	1
55	точкой зрения на	1	1
56	и в жизни	1	1
57	того чтобы не	1	1
58	в конечном счете	3	1
59	или иное место	1	1
60	между тем в	1	1
61	но и его	1	1
62	а в действительности	1	1
63	нет и не	1	1
64	только в том	2	1
65	та или иная	1	1
66	в самом деле	3	1
67	но то что	1	1
68	создается прежде всего	1	1
69	не нуждается в	1	1
70	тем не менее	3	1
71	как и в	3	1
72	до сих пор	2	1
73	автор и читатель	1	1
