N	2gram	Savitsky_E_1	VrazhdaK
1	не только	18	9
2	в этом	12	8
3	и в	37	8
4	и что	2	8
5	но и	14	7
6	и все	2	7
7	то что	6	7
8	что в	21	7
9	все же	1	6
10	но в	14	6
11	в нем	1	6
12	как и	7	6
13	в котором	2	6
14	и с	2	6
15	в начале	1	6
16	и даже	6	6
17	то же	15	5
18	об этом	1	5
19	в то	16	5
20	же время	14	5
21	между тем	8	5
22	не было	1	5
23	в россии	5	5
24	и не	14	5
25	в ней	4	4
26	в истории	2	4
27	целый ряд	2	4
28	при этом	1	4
29	несмотря на	4	4
30	во многом	2	4
31	с ним	1	4
32	о том	3	4
33	для нас	4	4
34	и детей	1	4
35	уже в	1	4
36	отцов и	1	4
37	может быть	6	4
38	как бы	6	4
39	в своих	2	4
40	так же	9	4
41	речь идет	1	3
42	с его	1	3
43	в своем	14	3
44	и как	2	3
45	в этот	1	3
46	на то	6	3
47	он не	2	3
48	далеко не	2	3
49	том что	6	3
50	и его	1	3
51	связи с	1	3
52	по нашему	3	3
53	и о	1	3
54	и во	2	3
55	в его	2	3
56	в том	11	3
57	тем что	3	3
58	в связи	1	3
59	наряду с	2	3
60	т е	9	3
61	в русских	1	2
62	же как	5	2
63	и то	2	2
64	он сам	2	2
65	столь же	5	2
66	но как	2	2
67	тогда как	1	2
68	отнюдь не	9	2
69	в известном	3	2
70	в той	5	2
71	его на	2	2
72	в этой	2	2
73	что к	2	2
74	в себе	9	2
75	таким образом	2	2
76	в мире	2	2
77	в них	3	2
78	рядом с	1	2
79	мы знаем	1	2
80	в эту	2	2
81	точки зрения	23	2
82	в своей	8	2
83	и ее	1	2
84	с точки	17	2
85	место в	3	2
86	не менее	1	2
87	том же	1	2
88	одна из	1	2
89	никогда не	3	2
90	и далее	1	2
91	и это	1	2
92	на основе	2	2
93	россии в	4	2
94	а также	7	2
95	тем более	4	2
96	об их	1	2
97	уже не	1	2
98	при помощи	2	2
99	из них	3	2
100	для него	1	2
101	к ним	3	2
102	как же	2	2
103	с которым	1	2
104	начиная с	2	2
105	не может	9	2
106	вместе с	2	2
107	в среде	1	2
108	но это	1	2
109	же в	2	2
110	а в	2	2
111	в свою	3	2
112	это в	1	2
113	себя как	1	1
114	как известно	1	1
115	ко всем	1	1
116	также и	7	1
117	доступ в	1	1
118	того же	3	1
119	идет о	3	1
120	вопросом не	2	1
121	которую они	1	1
122	по преимуществу	2	1
123	в их	11	1
124	из всех	3	1
125	той же	1	1
126	именно к	2	1
127	говорить о	1	1
128	в полной	4	1
129	а другие	1	1
130	одном из	2	1
131	на них	2	1
132	и русской	1	1
133	по своему	7	1
134	и всего	1	1
135	совершенно прав	2	1
136	но не	5	1
137	а тем	2	1
138	в сторону	2	1
139	если в	2	1
140	в оценке	1	1
141	к сожалению	1	1
142	как по	1	1
143	независимо от	4	1
144	как в	3	1
145	с этим	2	1
146	будущее россии	1	1
147	дает нам	1	1
148	для всех	1	1
149	некоторое время	1	1
150	что как	1	1
151	в –	2	1
152	как нам	5	1
153	и наконец	2	1
154	не являются	1	1
155	себе не	3	1
156	и отчасти	2	1
157	россии не	2	1
158	то в	4	1
159	в самом	4	1
160	что это	2	1
161	мы получаем	1	1
162	что же	2	1
163	тому же	1	1
164	во многих	4	1
165	в свет	1	1
166	имело бы	1	1
167	всех этих	1	1
168	прочим и	2	1
169	в силу	2	1
170	этот процесс	2	1
171	и этот	2	1
172	не будет	3	1
173	в глубине	1	1
174	говорить не	1	1
175	входя в	1	1
176	как тот	1	1
177	заключается в	2	1
178	было бы	8	1
179	смысле более	1	1
180	россия в	11	1
181	в жизни	1	1
182	соответствии с	1	1
183	во внимание	1	1
184	в развитии	2	1
185	такой же	2	1
186	одного и	1	1
187	в этих	2	1
188	и их	1	1
189	год а	1	1
190	всяком случае	3	1
191	только эпизод	1	1
192	представление о	2	1
193	далее в	1	1
194	этот обмен	1	1
195	с такими	1	1
196	возвращается к	1	1
197	вплоть до	1	1
198	но они	1	1
199	тем самым	5	1
200	что эта	1	1
201	не имеет	4	1
202	правда в	1	1
203	в процессе	4	1
204	также что	1	1
205	из их	1	1
206	и твердо	1	1
207	иными словами	4	1
208	того в	1	1
209	по своей	2	1
210	такая же	1	1
211	потому что	3	1
212	этом отношении	3	1
213	в каком	4	1
214	ли это	3	1
215	такие же	1	1
216	этот факт	3	1
217	в мировой	1	1
218	могут быть	2	1
219	во все	3	1
220	ли не	1	1
221	не есть	2	1
222	эти не	1	1
223	с ее	1	1
224	свою очередь	2	1
225	имеет никаких	1	1
226	в ее	8	1
227	то время	1	1
228	и сам	1	1
229	этот период	1	1
230	так и	10	1
231	чем все	1	1
232	еще в	1	1
233	во второй	3	1
