N	3gram	Tiupa_Lite_1	Sovremen
1	с точки зрения	2	5
2	в зависимости от	1	4
3	не может быть	1	4
4	с самого начала	1	3
5	тем не менее	2	2
6	во всяком случае	2	2
7	каждого из них	1	2
8	в отличие от	5	2
9	в свою очередь	1	2
10	не подлежит сомнению	1	2
11	точки зрения для	1	1
12	как бы два	1	1
13	и в этом	1	1
14	по крайней мере	1	1
15	в связи с	4	1
16	все более и	1	1
17	какой бы то	1	1
18	дело в том	2	1
19	по отношению к	2	1
20	на самом деле	1	1
21	как и во	1	1
22	в обратном порядке	1	1
23	а не только	1	1
24	следующим образом если	1	1
25	на какой бы	1	1
26	до сих пор	1	1
27	то же время	5	1
28	тот или иной	1	1
29	по аналогии с	3	1
30	бы то ни	1	1
31	в конечном счете	4	1
32	более и более	1	1
33	можно было бы	1	1
34	в самом деле	1	1
35	все же в	2	1
36	и прежде всего	3	1
37	но все же	1	1
38	в то же	5	1
39	в том что	11	1
40	и во всей	1	1
41	в данном случае	4	1
42	той же природы	1	1
43	то ни было	1	1
44	с одной стороны	2	1
45	именно в том	1	1
