N	3gram	Berdyaev_M_2	StatiiOP
1	в том что	2	16
2	о том что	2	11
3	в этом отношении	1	9
4	том что он	1	5
5	до сих пор	3	5
6	в письме к	1	5
7	для того чтобы	4	5
8	к тому что	3	5
9	что он не	1	4
10	после того как	2	4
11	так же как	3	3
12	том что в	1	2
13	сомневаться в том	1	2
14	с точки зрения	1	2
15	в значительной степени	1	2
16	и в этом	3	2
17	не до конца	2	2
18	мере в какой	1	2
19	на то что	1	2
20	той мере в	1	2
21	в той мере	1	2
22	а между тем	1	1
23	было не по	1	1
24	на самом деле	1	1
25	тому что у	1	1
26	между тем в	1	1
27	сам по себе	1	1
28	ни у кого	1	1
29	он никогда не	1	1
30	т е в	2	1
31	в русской истории	2	1
32	в высшей степени	3	1
33	в конце концов	1	1
34	по сравнению с	1	1
35	что он сам	1	1
36	одни и те	1	1
37	друг к другу	5	1
38	что у него	1	1
39	я не могу	1	1
40	нельзя было бы	1	1
41	по отношению к	2	1
42	не могли быть	1	1
43	но также и	1	1
44	но он не	1	1
45	но я не	1	1
46	и те же	2	1
47	не только имеет	1	1
48	в отношении к	2	1
