1	записок из подполья	3	5
2	вместе с тем	1	5
3	в творчестве достоевского	4	4
4	один из самых	1	4
5	у достоевского нет	1	4
6	добра и зла	2	4
7	это значит что	1	3
8	заключает в себе	1	3
9	человеческой природы в	1	3
10	и в самом	1	3
11	в самом последнем	1	2
12	не только в	2	2
13	в своем творчестве	1	2
14	достоевского никогда не	1	2
15	хотя бы и	1	2
16	не могут быть	1	2
17	он не может	1	2
18	что он не	1	2
19	не может не	1	2
20	в свою противоположность	2	2
21	в его романах	2	2
22	человека у достоевского	2	2
23	по отношению к	1	2
24	это не значит	1	2
25	переходит в свою	2	2
26	у достоевского и	1	2
27	в конце концов	1	2
28	бога и дьявола	1	2
29	до сих пор	1	2
30	не только для	1	1
31	и добро и	1	1
32	но она не	1	1
33	на протяжении всего	2	1
34	достоевского в своем	1	1
35	все более и	1	1
36	человека но и	1	1
37	свое завершение в	1	1
38	что иное как	1	1
39	на земле к	1	1
40	не значит что	1	1
41	в записках из	3	1
42	реализма он не	1	1
43	к человеку и	1	1
44	для него есть	1	1
45	бросается в глаза	1	1
46	и т п	2	1
47	это-то и есть	1	1
48	в отличие от	1	1
49	людей в этих	1	1
50	не так как	1	1
51	сплошь и рядом	1	1
52	в отношении к	1	1
53	органически связанным с	1	1
54	и та же	2	1
55	одна и та	1	1
56	к жизни в	1	1
57	человеком в его	1	1
58	в своей книге	1	1
59	достоевского в его	1	1
60	преступления и наказания	4	1
61	имеем в виду	1	1
62	но у достоевского	1	1
63	имел в виду	1	1
64	место в творчестве	2	1
65	у достоевского была	1	1
66	к добру свобода	1	1
67	человек и его	1	1
68	в героях достоевского	1	1
69	мы имеем в	1	1
70	достоевского не есть	1	1
71	человек должен идти	1	1
72	человека и все	1	1
73	у достоевского в	3	1
74	уже пришел в	1	1
75	себе что он	1	1
76	в том что	6	1
77	в преступлении человек	1	1
78	не что иное	1	1
79	у него не	1	1
80	может быть назван	1	1
81	униженных и оскорбленных	4	1
82	исторического процесса в	1	1
83	в романах достоевского	13	1
84	когда он идет	1	1
85	добро и зло	1	1
86	бы он ни	1	1
87	но это не	1	1
88	к человеку как	2	1
89	до конца понять	1	1
90	более и более	1	1
91	записки из подполья	6	1
92	в человеке борьбу	1	1
93	достоевского как и	1	1
94	о том что	5	1
95	и всякий раз	1	1
96	это прежде всего	1	1
97	потому что не	1	1
98	в этот момент	1	1
99	творчество достоевского в	1	1
100	записках из подполья	2	1
101	в наше время	2	1
