N	2gram	Bakhtin_Fr_1	Retstnzi
1	не может	3	4
2	и в	65	3
3	один из	1	2
4	нет и	2	1
5	грамматических категорий	1	1
6	лежащие в	2	1
7	в особенности	2	1
8	и не	22	1
9	не только	10	1
10	связи с	4	1
11	литературного языка	1	1
12	самых первых	1	1
13	точки зрения	7	1
14	конечно и	3	1
15	на примере	1	1
16	во второй	2	1
17	так называемая	1	1
18	но и	10	1
19	и заставляет	1	1
20	не менее	1	1
21	в системе	3	1
22	тех же	1	1
23	не из	1	1
24	теми или	1	1
25	в ней	6	1
26	в то	1	1
27	с точки	3	1
28	произведения но	1	1
29	и на	11	1
30	для него	5	1
31	мы видим	2	1
32	и больше	1	1
33	в языке	1	1
34	к тому	2	1
35	а не	1	1
36	его от	2	1
37	может быть	6	1
38	вполне понятно	2	1
39	несмотря на	2	1
40	в его	9	1
41	он в	1	1
42	или иными	1	1
43	же время	1	1
44	без учета	1	1
45	то же	1	1
46	и все	5	1
47	из этих	2	1
48	бы в	1	1
