N	4gram	Losev_Vlad_2	Dialekti
1	не что иное как	1	6
2	в то время как	1	4
3	по крайней мере в	1	3
4	и тем не менее	1	2
5	и прежде всего от	1	2
6	от всего прочего и	1	2
7	всего прочего и прежде	1	2
8	не говоря уже о	2	2
9	прочего и прежде всего	1	2
10	или по крайней мере	2	1
11	и во всяком случае	1	1
12	при чем же тут	1	1
13	в самом деле если	1	1
14	где на первом плане	1	1
15	точка зрения с которой	1	1
16	не имеет никакого отношения	1	1
17	в то же время	3	1
18	не содержит в себе	1	1
19	ни к чему не	1	1
20	и в то же	1	1
21	в связи с этим	1	1
