N	2gram	Tiupa_Teor_1	ViktorSh
1	и в	18	2
2	том что	9	2
3	в том	16	2
4	в конце	2	2
5	а.н веселовского	1	2
6	и только	1	1
7	крайней мере	1	1
8	тем более	1	1
9	ни к	3	1
10	и том	1	1
11	в другом	3	1
12	и не	13	1
13	и его	8	1
14	потому что	3	1
15	я не	2	1
16	более чем	1	1
17	сводится к	5	1
18	и то	2	1
19	и т.д	3	1
20	все это	2	1
21	по поводу	1	1
22	именно в	3	1
23	в их	2	1
24	теории литературы	1	1
25	дело в	2	1
26	говоря иначе	1	1
27	в частности	16	1
28	так в	4	1
29	речи и	2	1
30	одно и	1	1
31	все то	1	1
32	столь же	2	1
33	ведь это	1	1
34	говоря о	3	1
35	в значительной	1	1
36	в самом	4	1
37	только в	6	1
38	то же	7	1
39	так как	1	1
40	далеко не	2	1
41	и составляет	3	1
42	к чему	2	1
43	в этом	8	1
44	одном и	1	1
45	по крайней	1	1
46	а только	3	1
47	прозы в	1	1
48	и заключается	1	1
49	по существу	1	1
50	то я	1	1
51	значительной степени	1	1
52	за свою	1	1
53	том же	1	1
