N	3gram	Propp_Russ_2	Hudozhes
1	в том что	18	11
2	о том что	4	7
3	подобно тому как	3	4
4	том что в	1	3
5	а между тем	1	3
6	не может быть	3	3
7	как и в	1	3
8	с одной стороны	2	3
9	для того чтобы	6	3
10	тем не менее	2	3
11	состоит в том	13	2
12	о том как	1	2
13	и в этом	1	2
14	можно было бы	1	2
15	в этой связи	1	2
16	так же как	4	2
17	в данном случае	6	2
18	в этом и	2	2
19	не в духе	1	2
20	на другой день	2	2
21	и т д	5	2
22	а на другой	1	1
23	этом и состоит	1	1
24	когда-то и в	1	1
25	в остальное время	1	1
26	дело в том	1	1
27	в настоящее время	1	1
28	же как и	2	1
29	как например в	1	1
30	и то и	1	1
31	человека а не	1	1
32	и в других	4	1
33	между тем как	1	1
34	в этом отношении	1	1
35	а иногда и	1	1
36	следующим образом в	1	1
37	в это время	1	1
38	наблюдения и выводы	1	1
39	она может дать	1	1
40	то время как	1	1
41	с другой стороны	1	1
42	того момента когда	1	1
43	и в том	1	1
44	в то время	2	1
45	в этом случае	6	1
46	с того что	1	1
47	братьев и сестер	1	1
48	можно сказать что	1	1
49	не было ни	1	1
50	после того как	2	1
51	этом случае с	1	1
52	как символ бессмертия	1	1
53	в xix в	3	1
54	что и от	1	1
55	о том же	3	1
56	пока еще не	2	1
57	в дом и	1	1
