N	2gram	Tiupa_Lite_3	PoTuStor
1	может быть	12	17
2	и в	16	16
3	в этом	14	9
4	и только	2	9
5	прежде всего	3	9
6	и с	2	8
7	точки зрения	7	8
8	и его	6	8
9	не может	8	8
10	совершенно не	3	8
11	с его	6	7
12	не только	14	7
13	сказать что	1	7
14	я и	10	6
15	самом деле	3	6
16	конечно не	1	6
17	при этом	15	6
18	с точки	3	6
19	для него	2	6
20	и к	3	6
21	еще не	6	5
22	в чем	1	5
23	отношение к	2	5
24	что такое	1	5
25	только для	3	5
26	нуждается в	1	5
27	как бы	8	5
28	на самом	1	4
29	и ее	2	4
30	и на	2	4
31	отнюдь не	3	4
32	и наконец	3	4
33	но в	3	4
34	в этой	8	4
35	в нем	2	4
36	его в	2	4
37	художественного творчества	2	4
38	мысли и	1	4
39	все это	1	4
40	как мы	2	4
41	с ее	3	4
42	так и	9	4
43	но мы	1	4
44	можно сказать	2	4
45	в его	6	4
46	с ними	2	4
47	только в	7	4
48	для всех	1	4
49	и их	1	4
50	так как	1	4
51	и даже	2	4
52	но и	14	4
53	и не	22	4
54	и все	1	4
55	хотя бы	1	4
56	отношения к	3	3
57	тех же	1	3
58	едва ли	3	3
59	во всех	2	3
60	в общем	1	3
61	и есть	1	3
62	и как	3	3
63	и теперь	1	3
64	и вот	2	3
65	на этой	1	3
66	реальности и	1	3
67	том что	8	3
68	во время	1	3
69	в одном	4	3
70	и притом	1	3
71	в основе	5	3
72	к себе	8	3
73	мира и	2	3
74	в конечном	1	3
75	с другими	1	3
76	и она	1	3
77	в том	12	3
78	только на	1	3
79	даже не	1	3
80	в области	3	3
81	вместе с	5	3
82	и потому	2	3
83	как это	3	3
84	матери и	1	3
85	что в	2	3
86	в этих	1	3
87	а в	5	3
88	то что	12	3
89	жизни и	3	3
90	в самом	3	2
91	мы уже	1	2
92	и о	1	2
93	говорить о	1	2
94	того же	2	2
95	на высоте	1	2
96	конечном счете	1	2
97	нет и	1	2
98	за пределы	1	2
99	с этим	1	2
100	в этот	1	2
101	вообще не	1	2
102	он не	1	2
103	момента в	1	2
104	то же	9	2
105	на протяжении	1	2
106	было бы	2	2
107	в жизни	8	2
108	кажется что	1	2
109	в них	1	2
110	как и	5	2
111	на первый	1	2
112	в своей	7	2
113	не менее	2	2
114	никогда не	4	2
115	на два	1	2
116	всей жизни	1	2
117	и всех	1	2
118	он ищет	2	2
119	по аналогии	2	2
120	быть может	2	2
121	для этого	1	2
122	о том	6	2
123	аналогии с	1	2
124	для нас	1	2
125	что и	2	2
126	во всей	2	2
127	один из	2	2
128	что он	5	2
129	и действительно	1	2
130	со всеми	2	2
131	есть в	1	2
132	в итоге	1	2
133	в начале	4	2
134	за счет	1	2
135	и других	1	2
136	для меня	2	2
137	при всей	1	2
138	у него	1	2
139	момент в	1	2
140	и т.п	6	2
141	оно не	2	2
142	себя и	2	2
143	что не	2	2
144	а на	2	2
145	к мировой	1	2
146	не на	1	2
147	в частности	11	2
148	так же	2	2
149	в историю	1	2
150	с этой	2	2
151	своей жизни	2	2
152	но это	1	2
153	это последнее	2	2
154	к другим	1	2
155	и для	4	2
156	сознания и	2	2
157	но отнюдь	1	2
158	ни было	2	2
159	не есть	1	2
160	из тех	1	2
161	все остальные	1	2
162	не знает	2	2
163	всех других	1	2
164	есть и	1	2
165	ее в	2	2
166	к этому	2	2
167	они не	1	2
168	совершенно новой	2	1
169	и то	1	1
170	это и	1	1
171	что эти	1	1
172	объекта на	1	1
173	века в	1	1
174	в году	5	1
175	его не	1	1
176	всей ее	1	1
177	полагает что	1	1
178	вопрос о	2	1
179	одних и	1	1
180	память о	1	1
181	так чтобы	2	1
182	является эстетическим	1	1
183	я не	2	1
184	как я	1	1
185	из того	2	1
186	целого в	1	1
187	многих читателей	1	1
188	в ней	1	1
189	он был	1	1
190	иное как	1	1
191	столь же	1	1
192	бы то	2	1
193	но не	4	1
194	отказ от	2	1
195	и три	1	1
196	право на	2	1
197	что они	1	1
198	к сожалению	1	1
199	в центре	1	1
200	первый взгляд	1	1
201	в рамках	4	1
202	общего с	1	1
203	пути в	4	1
204	она как	1	1
205	все же	2	1
206	однако не	3	1
207	в полном	2	1
208	хотя и	4	1
209	когда он	2	1
210	что по	1	1
211	уже не	3	1
212	в нашем	1	1
213	не оставляет	1	1
214	чем бы	1	1
215	влечение к	1	1
216	сознания с	2	1
217	их объединяет	1	1
218	мы чувствуем	1	1
219	как он	1	1
220	жизнь как	2	1
221	по мнению	1	1
222	вероятно и	1	1
223	на его	3	1
224	что было	1	1
225	а просто	1	1
226	врача и	1	1
227	именно то	1	1
228	в корне	1	1
229	подобно тому	2	1
230	последнее слово	1	1
231	человека в	2	1
232	по его	1	1
233	то ни	2	1
234	а то	1	1
235	в мире	16	1
236	той же	3	1
237	момент и	1	1
238	на все	1	1
239	лишь в	5	1
240	образ не	1	1
241	входит в	4	1
242	искусства в	1	1
243	весь мир	1	1
244	еще одно	1	1
245	в самую	1	1
246	с тем	1	1
247	несмотря на	2	1
248	все моменты	1	1
249	жизни но	1	1
250	и того	1	1
251	и еще	1	1
252	взаимоотношение двух	1	1
253	от своего	1	1
254	со всяким	1	1
255	вот она	1	1
256	к предмету	2	1
257	как совокупность	1	1
258	что я	5	1
259	значение для	1	1
260	друг другу	1	1
261	однако в	4	1
262	на один	1	1
263	и внешней	1	1
264	тогда когда	1	1
265	к новым	1	1
266	в самых	1	1
267	что иное	1	1
268	того чтобы	2	1
269	для всего	1	1
270	только не	1	1
271	не имеет	1	1
272	не лучше	1	1
273	и эстетический	1	1
274	обратим внимание	3	1
275	в ком	1	1
276	что жизнь	1	1
277	уже становится	1	1
278	во всем	1	1
279	мире и	1	1
280	связи с	2	1
281	языка который	1	1
282	в виду	1	1
283	уже и	1	1
284	и делает	1	1
285	мы и	2	1
286	и со	1	1
287	в образах	1	1
288	у меня	1	1
289	деятельности и	1	1
290	т.п и	1	1
291	его за	1	1
292	же самое	2	1
293	к тому	6	1
294	той или	2	1
295	для его	3	1
296	она же	1	1
297	как некое	1	1
298	она не	1	1
299	как известно	1	1
300	ничего общего	1	1
301	бы по	1	1
302	культурное творчество	1	1
303	данном случае	4	1
304	эти столь	1	1
305	каков же	1	1
306	и сам	2	1
307	в другом	6	1
308	времени и	1	1
309	всей остальной	1	1
310	еще в	3	1
311	если бы	2	1
312	мы живем	1	1
313	в глубине	2	1
314	о ней	1	1
315	о нем	2	1
316	два момента	1	1
317	и т.д	1	1
318	на вопрос	1	1
319	внимание на	2	1
320	говорит об	1	1
321	нас в	1	1
322	конкурировать с	1	1
323	борьба с	1	1
324	с нами	1	1
325	эти два	1	1
326	наконец в	3	1
