N	3gram	Propp_Isto_4	Russkaja
1	до сих пор	5	5
2	на то что	3	4
3	не может быть	4	4
4	в этом случае	3	3
5	вместе с тем	1	3
6	и не может	1	3
7	и то что	5	3
8	в данном случае	3	3
9	точно так же	5	2
10	что он не	1	2
11	о том чтобы	1	2
12	таким же образом	1	2
13	совершенно таким же	1	2
14	из которых каждый	1	2
15	и вместе с	1	2
16	о том что	2	2
17	и тем самым	1	2
18	в другом случае	2	2
19	в большинстве случаев	1	2
20	к тому что	1	2
21	что же это	1	1
22	между прочим и	1	1
23	в том числе	1	1
24	в себе элементы	1	1
25	во всем мире	1	1
26	еще на одну	1	1
27	то же самое	2	1
28	мы уже знаем	1	1
29	и не только	1	1
30	но для нас	1	1
31	и в других	1	1
32	мы подойдем к	1	1
33	а с ними	1	1
34	представить себе что	1	1
35	совершенно ясно что	1	1
36	за то что	1	1
37	именно так как	1	1
38	что дает ему	1	1
39	это завело бы	1	1
40	на этот вопрос	2	1
41	не просто в	1	1
42	но мы знаем	2	1
43	бы нас слишком	1	1
44	но не к	1	1
45	этом случае совершенно	1	1
46	тем что он	2	1
47	смысле этого слова	2	1
48	только с этой	1	1
49	нас слишком далеко	1	1
50	во всех этих	1	1
51	указывает на то	1	1
52	и к замене	1	1
53	в связи с	2	1
54	так же как	12	1
55	между собой и	1	1
56	на свою родину	1	1
57	это и есть	1	1
58	в себе черты	1	1
59	но все же	4	1
60	в нем самом	1	1
61	тем более что	1	1
62	и во всем	1	1
63	но мы уже	1	1
64	тем не менее	2	1
65	всех этих случаях	1	1
66	завело бы нас	1	1
67	со стороны их	1	1
