N	3gram	Potebnia_M_3	slovoVRo
1	и т п	2	23
2	то же время	5	12
3	в то же	5	12
4	и т д	3	5
5	с одной стороны	3	4
6	с другой стороны	4	4
7	в поэтическом произведении	1	3
8	в данном случае	1	3
9	более или менее	3	3
10	таким образом в	1	3
11	по всей вероятности	1	3
12	так и в	2	3
13	а между тем	2	2
14	мы уже сказали	1	2
15	и там где	1	2
16	до сих пор	3	2
17	может быть только	3	2
18	одно и то	5	2
19	то время как	1	2
20	в первом случае	2	2
21	не только в	4	2
22	в то время	4	2
23	и то же	5	2
24	не могут быть	2	2
25	а не как	1	2
26	то же слово	2	2
27	в других случаях	1	2
28	в свою очередь	3	2
29	как бы ни	2	2
30	как мы уже	1	2
31	к тому что	2	2
32	и в том	2	2
33	друг с другом	1	2
34	и связанное с	1	1
35	во всем своем	1	1
36	было бы невозможно	1	1
37	и столь же	1	1
38	одной и той	2	1
39	не только по	3	1
40	там где нет	1	1
41	то есть не	4	1
42	бы ни был	1	1
43	и той же	2	1
44	того что уже	2	1
45	это было бы	1	1
46	но именно эти	1	1
47	же время и	1	1
48	но и по	2	1
49	то есть к	3	1
50	вне себя в	1	1
51	не заключено в	1	1
52	потому что по	1	1
53	но и в	4	1
54	каждое из них	1	1
55	в этом отношении	2	1
56	может находиться в	1	1
57	на предметы и	1	1
58	так как одно	1	1
59	и в каждом	1	1
60	рано или поздно	1	1
61	в противном случае	1	1
62	со всех сторон	1	1
63	по крайней мере	5	1
64	оно не могло	1	1
65	связанное с этим	1	1
66	ни с одним	1	1
67	может быть не	1	1
68	каждый из этих	1	1
69	словом и не	1	1
70	в первый раз	1	1
71	мы не знаем	2	1
72	что для нас	1	1
73	его жизни и	1	1
74	в его сознании	1	1
75	как одно и	1	1
76	так или иначе	1	1
77	так и на	1	1
78	бы оно ни	1	1
79	один из этих	1	1
80	предмета в его	1	1
81	как в самом	1	1
82	не может быть	3	1
83	разве только в	1	1
84	в свое время	1	1
85	форма и содержание	1	1
86	тем не менее	3	1
87	о том что	1	1
88	равно как и	1	1
89	же и в	1	1
90	не исчерпываются все	1	1
91	его отношение к	1	1
92	каждого из этих	1	1
93	только по своим	1	1
94	тем и другим	1	1
95	если бы мы	1	1
96	но оно как	1	1
97	точек зрения и	1	1
98	не только не	2	1
99	не есть еще	2	1
100	можно сказать что	2	1
101	в своем языке	2	1
102	можно оставаться при	1	1
103	для нас в	1	1
104	для того чтобы	3	1
105	в том что	16	1
106	как и в	2	1
107	слово рождается в	1	1
108	именно потому что	1	1
109	как мы видели	1	1
