N	3gram	Propp_Isto_4	Problemy
1	в зависимости от	1	5
2	не может быть	4	4
3	подобно тому как	1	3
4	с другой стороны	4	3
5	но все же	4	2
6	он может быть	1	2
7	до сих пор	5	2
8	и не может	1	2
9	в этой форме	1	2
10	т е в	3	2
11	в данном случае	3	2
12	не только в	2	2
13	в большинстве случаев	1	2
14	потому что он	1	1
15	же это за	1	1
16	же как и	4	1
17	говорит об этом	2	1
18	другими словами к	1	1
19	то же самое	2	1
20	в этом случае	3	1
21	в своей работе	1	1
22	он все же	1	1
23	тому что в	1	1
24	и в других	1	1
25	потому что у	1	1
26	героя а именно	1	1
27	все те же	1	1
28	но он не	1	1
29	есть и др	1	1
30	точно так же	5	1
31	на этот вопрос	2	1
32	может быть только	1	1
33	так и в	2	1
34	может быть и	1	1
35	и могут быть	1	1
36	то время как	1	1
37	так же как	12	1
38	а не только	1	1
39	не потому что	1	1
40	тем что он	2	1
41	таким образом и	1	1
42	видеть в нем	1	1
43	поэтому она и	1	1
44	в этом рассказе	1	1
45	как будто бы	1	1
46	не могут быть	1	1
47	не только как	1	1
48	не в том	1	1
49	ощущается как недостаток	1	1
50	что мы видим	1	1
51	что же это	1	1
52	о том что	2	1
53	от того кто	1	1
54	независимо от того	1	1
55	тому как в	1	1
56	по сравнению с	3	1
57	мы видим и	1	1
58	в то время	1	1
59	между героем и	1	1
60	это и есть	1	1
61	у него есть	1	1
62	она и не	1	1
63	но даже в	1	1
64	но не для	1	1
65	можно сказать что	1	1
66	мы имеем в	2	1
67	к тому что	1	1
68	и в форме	1	1
69	друг за другом	1	1
70	что и в	1	1
71	и относится к	1	1
72	и т д	24	1
73	как мы видели	3	1
