N	3gram	Propp_Russ_2	SlovoVZh
1	не может быть	3	7
2	можно сказать что	1	5
3	дело в том	1	4
4	в том что	18	4
5	тем не менее	2	3
6	может быть и	1	3
7	в какой степени	1	2
8	в такой же	1	2
9	с другой стороны	1	2
10	в данном случае	6	2
11	в настоящее время	1	2
12	с одной стороны	2	2
13	том что в	1	1
14	для него не	1	1
15	а между тем	1	1
16	и в этом	1	1
17	как например в	1	1
18	то время как	1	1
19	более или менее	1	1
20	во всяком случае	1	1
21	так как в	1	1
22	они как бы	1	1
23	самом же деле	2	1
24	при более широком	1	1
25	между тем как	1	1
26	же как и	2	1
27	и таким образом	1	1
28	в то время	2	1
29	в свою очередь	1	1
30	таким образом к	1	1
31	но и в	1	1
32	на этом основании	1	1
33	на самом же	2	1
34	о том что	4	1
35	но все это	1	1
36	в этом отношении	1	1
37	по аналогии с	1	1
38	она как бы	1	1
39	такой же степени	1	1
40	только там где	1	1
41	можно было бы	1	1
42	мы указывали что	1	1
43	подобно тому как	3	1
44	как мы уже	1	1
45	между тем это	2	1
46	можно найти в	1	1
47	может быть только	2	1
48	так же как	4	1
49	в двух направлениях	1	1
50	для нас не	1	1
51	как и в	1	1
52	в том же	1	1
