1	то же время	4	7
2	в то же	4	7
3	в этом отношении	7	5
4	в данном случае	6	4
5	по отношению к	3	4
6	не говоря уже	1	4
7	в том что	17	4
8	с одной стороны	2	4
9	о том что	11	4
10	говоря уже о	1	3
11	в том числе	2	3
12	с точки зрения	8	3
13	не может быть	5	3
14	в соответствии с	1	3
15	но и в	2	2
16	не только в	4	2
17	в то что	1	2
18	на то что	4	2
19	в том чтобы	1	2
20	в одном из	1	2
21	том числе и	2	2
22	той или иной	1	2
23	в самом деле	5	2
24	бы то ни	1	2
25	с другой стороны	6	2
26	и в самом	3	2
27	потому что не	1	2
28	так или иначе	2	2
29	только в том	3	1
30	то что в	2	1
31	к тому что	1	1
32	в той или	1	1
33	быть не может	1	1
34	как будто бы	1	1
35	хотя бы и	2	1
36	что он в	1	1
37	по собственному усмотрению	1	1
38	на мой взгляд	1	1
39	и т п	9	1
40	тем не менее	2	1
41	может быть вообще	1	1
42	то что было	1	1
43	в этой системе	1	1
44	содержит в себе	1	1
45	я не могу	1	1
46	то что для	1	1
47	одних и тех	1	1
48	для того чтобы	10	1
49	с того что	1	1
50	собственную личность но	1	1
51	и находя в	1	1
52	художественного произведения в	1	1
53	в другом месте	1	1
54	даже по отношению	1	1
55	в начале своего	1	1
56	как раз в	2	1
57	о том как	1	1
58	вопрос о том	2	1
59	на самом деле	6	1
60	для него не	1	1
61	ту или иную	1	1
62	в первую очередь	2	1
63	и в том	2	1
64	но это не	1	1
65	и то что	2	1
66	свою собственную личность	1	1
67	и не имеет	1	1
68	некоторые из них	1	1
69	ничего общего с	3	1
70	и тех же	1	1
71	друг от друга	1	1
72	именно там где	1	1
73	а во втором	1	1
74	в целом ряде	1	1
75	о пушкине и	2	1
76	и только в	3	1
