N	2gram	Berdyaev_M_1	Freidism
1	и не	11	23
2	– это	1	21
3	не может	28	20
4	точки зрения	4	19
5	прежде всего	10	18
6	в этом	20	15
7	в его	9	15
8	это –	16	14
9	в душе	1	13
10	может быть	30	13
11	и его	9	12
12	все эти	2	11
13	как и	5	11
14	как бы	2	11
15	то что	5	11
16	самом деле	1	10
17	но в	7	10
18	его в	3	10
19	с ним	2	10
20	так и	1	10
21	и потому	10	10
22	с его	3	9
23	во всех	1	9
24	по отношению	2	9
25	и в	28	9
26	не только	29	8
27	он не	24	8
28	в своей	15	8
29	еще не	1	8
30	что он	10	8
31	только в	6	8
32	так как	3	8
33	все это	6	8
34	и все	10	8
35	отношению к	2	8
36	все что	2	8
37	в самом	11	7
38	мы уже	1	7
39	отношение к	4	7
40	и наконец	1	7
41	чувств и	1	7
42	к нему	7	7
43	один из	4	7
44	всяком случае	1	7
45	что же	1	7
46	– не	5	7
47	сказать что	2	7
48	во всяком	1	7
49	в ней	15	6
50	за пределы	4	6
51	и с	3	6
52	на протяжении	2	6
53	и ее	1	6
54	точку зрения	1	6
55	– все	3	6
56	того что	7	6
57	для него	11	6
58	вовсе не	1	6
59	никогда не	14	6
60	протяжении всей	1	6
61	хотя бы	3	6
62	– как	1	6
63	я и	1	5
64	на самом	1	5
65	и на	6	5
66	он сам	6	5
67	и к	2	5
68	в этой	6	5
69	что такое	1	5
70	не в	16	5
71	в то	2	5
72	сознанием и	1	5
73	в каком	2	5
74	могут быть	2	5
75	для того	2	5
76	а в	4	5
77	но и	25	5
78	с этим	3	5
79	в период	1	5
80	в свою	2	5
81	что в	10	5
82	смысле слова	4	4
83	в зависимости	1	4
84	мы не	1	4
85	в которой	6	4
86	я не	1	4
87	зависимости от	1	4
88	но не	8	4
89	все же	2	4
90	не было	18	4
91	в пределах	1	4
92	с их	2	4
93	в нем	13	4
94	всех этих	1	4
95	на этом	3	4
96	человека –	2	4
97	об этом	1	4
98	в жизни	3	4
99	во время	1	4
100	– один	3	4
101	– только	1	4
102	не менее	1	4
103	в основе	2	4
104	потому что	16	4
105	и для	2	4
106	– с	1	4
107	к тому	3	4
108	того чтобы	2	4
109	конечно не	3	4
110	уже не	4	4
111	в котором	8	4
112	от того	1	4
113	и др	1	4
114	себя и	3	4
115	в мир	3	4
116	и о	1	4
117	в более	2	4
118	сознания и	1	4
119	в этих	4	4
120	этот вопрос	1	4
121	человека и	14	3
122	он хотел	2	3
123	и есть	14	3
124	подхода к	1	3
125	он был	14	3
126	как в	2	3
127	человек на	1	3
128	и как	2	3
129	между двумя	1	3
130	жизни к	1	3
131	учение о	3	3
132	в себе	7	3
133	и те	2	3
134	но ведь	1	3
135	этот процесс	3	3
136	и вот	3	3
137	и по	4	3
138	было бы	10	3
139	мы имеем	1	3
140	нисколько не	1	3
141	он дает	1	3
142	мысли и	2	3
143	войти в	1	3
144	тому чтобы	2	3
145	чем не	1	3
146	к себе	1	3
147	не могут	5	3
148	бы он	1	3
149	она не	4	3
150	и этим	1	3
151	приводит к	2	3
152	если бы	2	3
153	вражда к	1	3
